ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
56	lead-rtva-003-dj-neura::a veure::56	DJ Neura	DJ Neura	a veure	candidats/lead-rtva-003-dj-neura/clips/dj-neura__a-veure__33.00.wav	A-consens-ASR	1		candidat separat; confirmar identitat de veu i forma	pendent	De fet, i jo ens portem una diferència d'edat bastant significativa a veure els 80 anys i mig.	Fet i jo ens portem una diferència de edat	dj-neura-probable	primera persona i resposta desenvolupada	164.06	125.00	0.070	1885.94	3332.73	4167.78	suport automàtic; pendent d’audició
57	lead-rtva-003-dj-neura::aleshores::57	DJ Neura	DJ Neura	aleshores	candidats/lead-rtva-003-dj-neura/clips/dj-neura__aleshores__50.00.wav	A-consens-ASR	4		candidat separat; confirmar identitat de veu i forma	pendent	Aleshores, clar, hi havia un recopilatori que em va cautivar molt,	Aleshores, clar, hi havia un regopilatori que em va cautivar molt,	dj-neura-probable	primera persona i resposta desenvolupada	164.06	93.75	0.020	425.51	1858.48	2040.98	suport automàtic; pendent d’audició
58	lead-rtva-003-dj-neura::bueno::58	DJ Neura	DJ Neura	bueno	candidats/lead-rtva-003-dj-neura/clips/dj-neura__bueno__39.00.wav	A-consens-ASR	4		candidat separat; confirmar identitat de veu i forma	pendent	I, bueno, on que ell era més gran que jo i quan ell va començar a sortir de festa,	I, bueno, on que ell era més gran que jo,	dj-neura-probable	primera persona i resposta desenvolupada	164.06	109.38	0.080	515.57	1931.50	2575.80	suport automàtic; pendent d’audició
59	lead-rtva-003-dj-neura::bé::59	DJ Neura	DJ Neura	bé	candidats/lead-rtva-003-dj-neura/clips/dj-neura__b__44.00.wav	A-consens-ASR	7		candidat separat; confirmar identitat de veu i forma	pendent	doncs la música electrònica va estar bé amb el seu millor moment, no?, els anys 90.	doncs la música electrònica, doncs està bé amb el seu millor moment, no?	entrevistador-probable	marcador interrogatiu o inici de pregunta	101.56	93.75	0.050	798.40	2042.92	3244.05	suport automàtic; pendent d’audició
60	lead-rtva-003-dj-neura::clar::60	DJ Neura	DJ Neura	clar	candidats/lead-rtva-003-dj-neura/clips/dj-neura__clar__50.00.wav	A-consens-ASR	3		candidat separat; confirmar identitat de veu i forma	pendent	Aleshores, clar, hi havia un recopilatori que em va cautivar molt,	Aleshores, clar, hi havia un regopilatori que em va cautivar molt,	dj-neura-probable	primera persona i resposta desenvolupada	164.06	93.75	0.020	425.51	1858.48	2040.98	suport automàtic; pendent d’audició
61	lead-rtva-003-dj-neura::doncs::61	DJ Neura	DJ Neura	doncs	candidats/lead-rtva-003-dj-neura/clips/dj-neura__doncs__44.00.wav	A-consens-ASR	15		candidat separat; confirmar identitat de veu i forma	pendent	doncs la música electrònica va estar bé amb el seu millor moment, no?, els anys 90.	doncs la música electrònica, doncs està bé amb el seu millor moment, no?	entrevistador-probable	marcador interrogatiu o inici de pregunta	101.56	93.75	0.050	798.40	2042.92	3244.05	suport automàtic; pendent d’audició
62	lead-rtva-003-dj-neura::no?::62	DJ Neura	DJ Neura	no?	candidats/lead-rtva-003-dj-neura/clips/dj-neura__no__44.00.wav	A-consens-ASR	3		candidat separat; confirmar identitat de veu i forma	pendent	doncs la música electrònica va estar bé amb el seu millor moment, no?, els anys 90.	doncs la música electrònica, doncs està bé amb el seu millor moment, no?	entrevistador-probable	marcador interrogatiu o inici de pregunta	101.56	93.75	0.050	798.40	2042.92	3244.05	suport automàtic; pendent d’audició
63	lead-rtva-003-dj-neura::perquè::63	DJ Neura	DJ Neura	perquè	candidats/lead-rtva-003-dj-neura/clips/dj-neura__perqu__416.76.wav	A-consens-ASR	2		candidat separat; confirmar identitat de veu i forma	pendent	el menys nerviós possible perquè tot ja així, amb els anys que hi porto punxant,	lo menos nerviós possible, perquè en tot J.C. amb els anys que hi porto punxant,	indeterminat	no hi ha senyal textual suficient	117.19	125.00	0.040	921.58	1605.14	3443.00	suport automàtic; pendent d’audició
64	lead-rtva-003-dj-neura::de fet::64	DJ Neura	DJ Neura	de fet	candidats/lead-rtva-003-dj-neura/clips/dj-neura__de-fet__33.00.wav	B-un-model-ASR	1		candidat separat; confirmar identitat de veu i forma	pendent	De fet, i jo ens portem una diferència d'edat bastant significativa a veure els 80 anys i mig.	Fet i jo ens portem una diferència de edat	dj-neura-probable	primera persona i resposta desenvolupada	164.06	125.00	0.070	1885.94	3332.73	4167.78	suport automàtic; pendent d’audició
65	lead-rtva-003-dj-neura::o sigui::65	DJ Neura	DJ Neura	o sigui	candidats/lead-rtva-003-dj-neura/clips/dj-neura__o-sigui__394.08.wav	B-un-model-ASR	1		candidat separat; confirmar identitat de veu i forma	pendent	Bé, si encara estancava l'estès, eren les maties i xarxes, o sigui que, si fiquem com a exemple això, tot allò de més no cal dir res més.	aquí el país, sin cara, estrencava les matíes i satis.	dj-neura-probable	segment llarg compatible amb resposta	156.25	93.75	0.060	503.77	2065.67	2922.01	suport automàtic; pendent d’audició
