ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio	segments_incerts	min_prob_incert
248	A-triple-consens	9	pa-058	a nivell	188.37-191.87	clips/pa-058__a-nivell__188.37.wav	qa-clips/pa-058__a-nivell__188_37_191_87.txt	qa-clips-json/pa-058__a-nivell__188_37.json	no					Quan se vol, a nivells de programes polítics,	sí	sí	sí	0.050	0.100	0.6954	-26.95	265.22	31.34	812.34	0.060	pendent						1	0.0856
97	A-triple-consens	9	pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	qa-clips/pa-021__vull-dir__314_29_323_11.txt	qa-clips-json/pa-021__vull-dir__314_29.json	sí	318.000-319.130	0.7440	0.8676	vull dir	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	sí	sí	sí	0.088	0.046	0.5977	-32.29	226.92	139.06	877.30	0.060	pendent						2	0.0875
524	C-una-passada	2	pa-002	llavors	550.25-556.75	clips/pa-002__llavors__550.25.wav	qa-clips/pa-002__llavors__550_25_556_75.txt							però, bueno, llavors he de començar a veure les maniobres.	no	no	sí	0.090		0.3086	-40.98	304.84	122.55	962.52	0.110	pendent						3	0.0897
422	B-doble-ASR	6	pa-045	doncs	283.01-287.39	clips/pa-045__doncs__283.01.wav	qa-clips/pa-045__doncs__283_01_287_39.txt							que dins de la cova produeix alteracions.  Doncs és millor tan caro, no està claríssim.	sí	no	sí	0.059		0.4908	-35.30	322.79	90.65	909.99	0.080	pendent						2	0.0923
146	A-triple-consens	9	pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	qa-clips/pa-032__bueno__44_73_50_63.txt	qa-clips-json/pa-032__bueno__44_73.json	sí	45.000-45.460	0.8330	0.8330	bueno	I, bueno, l'últim, la psiga 4 que ens vam apuntar i vam dir que era capaç.	sí	sí	sí	0.065	0.065	0.4490	-36.98	214.60	29.55	938.40	0.080	pendent						1	0.0954
588	C-una-passada	2	pa-054	a veure	77.97-81.87	clips/pa-054__a-veure__77.97.wav	qa-clips/pa-054__a-veure__77_97_81_87.txt							Ja veuré que hi va una Barcelona,  es per dennes i no hi porten mai a l'estat.	no	no	sí	0.096		0.7113	-23.53	198.54	131.98	1077.39	0.060	pendent						1	0.0959
221	A-triple-consens	9	pa-048	o sigui	581.65-585.99	clips/pa-048__o-sigui__581.65.wav	qa-clips/pa-048__o-sigui__581_65_585_99.txt	qa-clips-json/pa-048__o-sigui__581_65.json	sí	581.650-582.150	0.3651	0.6814	O sigui	O sigui que les identitats com les cultures	sí	sí	sí	0.102	0.119	0.4537	-37.85	196.61	89.53	1297.19	0.100	pendent						1	0.0962
187	A-triple-consens	9	pa-038	reformeta	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	qa-clips/pa-038__reformeta__1821_69_1828_07.txt	qa-clips-json/pa-038__reformeta__1821_69.json	sí	1824.530-1825.400	0.9688	0.9812	reformeta	o com vulguis, segueixen contentat amb una reformeta.	sí	sí	sí	0.032	0.107	0.4874	-35.83	201.34	35.56	1340.70	0.090	pendent						2	0.1004
30	A-triple-consens	9	pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	qa-clips/pa-008__es-a-dir__1110_25_1114_75.txt	qa-clips-json/pa-008__s-a-dir__1110_25.json	sí	1112.550-1112.850	0.4791	0.8156	És a dir	a la festa o fer planter, no? És a dir,  quan els més grans s'hi implicen.	sí	sí	sí	0.325	0.074	0.5580	-34.34	167.05	118.17	1207.97	0.070	pendent						2	0.1021
646	D-divergent	0	pa-051	de fet	200.81-205.31	clips/pa-051__de-fet__200.81.wav	qa-clips/pa-051__de-fet__200_81_205_31.txt							i el que és el que és el que és el que és el que és el que és el	no	no	no	0.057		0.6473	-30.72	283.48	174.31	1332.06	0.080	pendent						2	0.1121
142	A-triple-consens	9	pa-030	és a dir	193.13-199.43	clips/pa-030__s-a-dir__193.13.wav	qa-clips/pa-030__es-a-dir__193_13_199_43.txt	qa-clips-json/pa-030__s-a-dir__193_13.json	sí	194.210-194.600	0.3545	0.7618	És a dir	i es van anar.  És a dir, aquí poc temps abans hi havia hagut una autodissolució.	sí	sí	sí	0.061	0.074	0.6242	-31.32	127.04	134.36	853.36	0.080	pendent						1	0.1172
347	D-divergent	7	pa-035	bé	715.81-720.31	clips/pa-035__b__715.81.wav	qa-clips/pa-035__be__715_81_720_31.txt							i això és el que ha de fer.	sí	sí	no	0.071	0.190	0.5714	-31.25	234.54	132.05	970.17	0.260	pendent						3	0.1174
405	B-doble-ASR	6	pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	qa-clips/pa-026__be__99_97_103_47.txt							Va bé? Doncs aquí és el mateix.	sí	no	sí	0.034		0.1897	-51.55	304.24	49.11	2115.92	0.120	pendent						2	0.1189
205	A-triple-consens	9	pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	qa-clips/pa-043__crec__102_25_108_75.txt	qa-clips-json/pa-043__crec__102_25.json	sí	107.350-107.440	0.9942	0.9942	crec	per mi l'escola andorrana és una identitat no, jo crec.	sí	sí	sí	0.307	0.060	0.5278	-34.41	217.96	146.91	1331.35	0.070	pendent						3	0.1230
587	C-una-passada	2	pa-053	llavors	40.73-47.71	clips/pa-053__llavors__40.73.wav	qa-clips/pa-053__llavors__40_73_47_71.txt							Llavors, que vaig tenir poder 15 o 16 anys,	no	no	sí	0.088		0.6293	-30.07	140.45	136.03	1122.30	0.090	pendent						2	0.1278
168	A-triple-consens	9	pa-036	doncs	367.25-376.75	clips/pa-036__doncs__367.25.wav	qa-clips/pa-036__doncs__367_25_376_75.txt	qa-clips-json/pa-036__doncs__367_25.json	sí	372.250-372.620	0.5064	0.5064	Doncs	"i dic ""opi, vols que ens trobem que ens parlen d'això i ens proposin això?""  Doncs nosaltres ja hem d'anar, hem de fer la Constitució."	sí	sí	sí	0.152	0.161	0.5865	-32.61	244.62	146.37	1021.37	0.080	pendent						3	0.1332
318	D-divergent	7	pa-018	és a dir	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	qa-clips/pa-018__es-a-dir__74_49_79_83.txt							que volien ser com un poc.	sí	sí	no	0.089	0.129	0.6504	-29.65	262.17	51.98	914.44	0.120	pendent						2	0.1423
50	A-triple-consens	9	pa-013	perquè	433.89-442.03	clips/pa-013__perqu__433.89.wav	qa-clips/pa-013__perque__433_89_442_03.txt	qa-clips-json/pa-013__perqu__433_89.json	sí	436.160-436.530	0.9497	0.9497	perquè	Per què us sabem? Doncs perquè es conserven múltiples testimonis fotogràfics.  Gràcies a Josep Elzina.	sí	sí	sí	0.144	0.059	0.7094	-25.95	230.90	124.51	1313.89	0.040	pendent						2	0.1428
44	A-triple-consens	9	pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	qa-clips/pa-011__be__185_57_189_31.txt	qa-clips-json/pa-011__b__185_57.json	sí	188.490-188.510	0.9983	0.9983	bé	a l'exterior de la casa es va molt bé, doncs, a aquesta...	sí	sí	sí	0.073	0.130	0.7849	-23.75	218.51	78.83	1286.25	0.090	pendent						3	0.1482
573	C-una-passada	2	pa-033	tirar endavant	135.69-141.51	clips/pa-033__tirar-endavant__135.69.wav	qa-clips/pa-033__tirar-endavant__135_69_141_51.txt							i havia vingut aquí a tirar endavant tot aquest projecte.	no	no	sí	0.255		0.4897	-35.23	264.69	173.76	1051.29	0.060	pendent						3	0.1485
325	D-divergent	7	pa-025	bueno	909.25-914.07	clips/pa-025__bueno__909.25.wav	qa-clips/pa-025__bueno__909_25_914_07.txt							De fet, és el mateix moment, l'any 90, el que ens molesta.	sí	sí	no	0.048	0.120	0.6000	-31.35	224.11	119.40	938.16	0.100	pendent						3	0.1490
190	A-triple-consens	9	pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	qa-clips/pa-039__crec__90_85_95_95.txt	qa-clips-json/pa-039__crec__90_85.json	sí	92.490-92.800	0.9907	0.9907	crec	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	sí	sí	sí	0.072	0.091	0.5000	-35.30	180.97	163.35	1637.74	0.080	pendent						1	0.1570
538	C-una-passada	2	pa-005	llavors	433.29-439.27	clips/pa-005__llavors__433.29.wav	qa-clips/pa-005__llavors__433_29_439_27.txt							perquè tenen frau, a llavors es quedaven tot a l'import de la denúncia.	no	no	sí	0.051		0.0000	-46.83	0.00	0.00	1261.73	0.000	pendent						2	0.1648
391	B-doble-ASR	6	pa-015	bé	42.25-48.75	clips/pa-015__b__42.25.wav	qa-clips/pa-015__be__42_25_48_75.txt							i 15. Bé, hem de pensar que és una família prou rellevant en aquesta.	sí	no	sí	0.237		0.8580	-23.23	239.56	113.04	1506.29	0.080	pendent						1	0.1814
386	B-doble-ASR	6	pa-012	bé	160.25-164.75	clips/pa-012__b__160.25.wav	qa-clips/pa-012__be__160_25_164_75.txt							o bé algunes campanyes d'un campanar d'un poble.	sí	no	sí	0.272		0.6696	-18.59	282.27	48.67	1242.49	0.030	pendent						2	0.1898
358	D-divergent	7	pa-042	clar	101.97-106.63	clips/pa-042__clar__101.97.wav	qa-clips/pa-042__clar__101_97_106_63.txt							I ja no podes fer el mateix que feies abans.	sí	sí	no	0.047	0.106	0.7112	-26.31	225.92	137.21	1463.57	0.080	pendent						3	0.1933
529	C-una-passada	2	pa-003	bé	0.00-7.19	clips/pa-003__b__0.00.wav	qa-clips/pa-003__be__0_00_7_19.txt							Bé, jo crec que de fet ens hem de situar en el context dels anys 80	no	no	sí	0.053		0.5838	-27.78	219.64	124.52	1394.91	0.060	pendent						2	0.1987
298	A-triple-consens	9	pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	qa-clips/pa-066__be__10_13_15_71.txt	qa-clips-json/pa-066__b__10_13.json	sí	12.670-13.560	0.4289	0.4289	bé	el trànsit estava complicat.  I bé, venint de casa meva, que jo vivia...	sí	sí	sí	0.082	0.110	0.7266	-27.40	291.78	43.84	1218.29	0.040	pendent						1	0.2454
