id_persona	forma	interval_escolta	clip	small_subcadena	base_subcadena	small_limit_paraula	base_limit_paraula	consens_limit_paraula	text_small	text_base
pa-014	aleshores	119.85-128.75	clips/pa-014__aleshores__119.85.wav	no	no	no	no	no	"i les hores va ser quan em van trencar més aquell neguit de dir ""crai"".  No pot ser, vull dir, que un ball que està arreglat en dorre,"	"I les hores va ser quan van trencar més aquell neguit de dir ""cri"", no pot ser-ho de dir que un ball que està reglat en d'or, que tot el diuen."
pa-021	aleshores	12.25-16.87	clips/pa-021__aleshores__12.25.wav	no	no	no	no	no	i es va obligar, i, bueno, les hores, doncs,	que pliga i, bueno, és ara, doncs, em van convidar-ho.
pa-025	aleshores	361.93-368.19	clips/pa-025__aleshores__361.93.wav	sí	no	sí	no	no	i, aleshores, ens tornem més primirats.	I a les hores ens es tornen més primirats.
pa-030	aleshores	392.41-397.91	clips/pa-030__aleshores__392.41.wav	sí	sí	sí	sí	sí	I aleshores, això està tan quadriculat	Aleshores, això està tan quadriculat.
pa-031	aleshores	54.09-57.91	clips/pa-031__aleshores__54.09.wav	sí	no	sí	no	no	que és partit i, aleshores, em va semblar que era l'home ideal.	és partit i regeu-nos amb la cara i la meva veu.
pa-032	aleshores	79.09-87.19	clips/pa-032__aleshores__79.09.wav	sí	sí	sí	sí	sí	I aleshores, els dos oponents es van posar d'acord al moment, al moment.	li he llistat, i aleshores els dos oponents es van posar de cort al moment, al moment.
pa-045	aleshores	1193.41-1197.91	clips/pa-045__aleshores__1193.41.wav	no	sí	no	sí	no	A les hores se fa la pregunta obligada.	Aleshores se fa la pregunta obligada.
pa-046	aleshores	527.57-532.55	clips/pa-046__aleshores__527.57.wav	sí	no	sí	no	no	la veritat és que es degrada el servei i, aleshores, ho perdem tot.	que es desgrada el servei i el desòrensupredent tot.
pa-048	aleshores	701.05-707.67	clips/pa-048__aleshores__701.05.wav	no	no	no	no	no	de la física, les hores, els temes de la paraula donada.	la física, les hores, els temes de la paraula donada.
pa-049	aleshores	110.29-118.67	clips/pa-049__aleshores__110.29.wav	sí	no	sí	no	no	I cada vestit és diferent, segons la persona,  com cada vida també és diferent.  Aleshores, voldríem arrancar un moment...	I cada vestit és diferent, segons la persona,  com cada vida també és diferent.  A les hores voldria marcar un moment...
pa-056	aleshores	393.13-397.83	clips/pa-056__aleshores__393.13.wav	sí	no	sí	no	no	i, aleshores, això està tan quadriculat.	i a desarres això està tan quadrícolat.
pa-060	aleshores	147.17-151.47	clips/pa-060__aleshores__147.17.wav	no	no	no	no	no	Per continuar, adéu.	Perdó, per continuar.
pa-063	aleshores	151.45-155.23	clips/pa-063__aleshores__151.45.wav	no	no	no	no	no	a les fronteres, o les hores, què s'havia de fer?	de les fronteres o les horres que s'havia de fer.
pa-065	aleshores	170.69-174.71	clips/pa-065__aleshores__170.69.wav	sí	no	sí	no	no	I aleshores, com si aquest caminar que fem per aquí...	i ens els enscomens aquest caminar que fem per aquí, els que fem.
pa-001	evidentment	1067.69-1071.19	clips/pa-001__evidentment__1067.69.wav	sí	sí	sí	sí	sí	per fer-nos una autonòmia, ens podem equivocar, evidentment.	en Espanya Mècubuca, evidentment, però no...
pa-002	evidentment	205.25-209.75	clips/pa-002__evidentment__205.25.wav	sí	sí	sí	sí	sí	Però, evidentment, no hi havia d'altra fórmula.	Però evidentment no hi havia d'altra forma.
pa-003	evidentment	158.81-165.19	clips/pa-003__evidentment__158.81.wav	sí	sí	sí	sí	sí	dels mestres evidentment i també de les persones que havíem estat treballant en el projecte.	i els mestres, evidentment, i també de les persones que havíem estat treballant amb el projecte.
pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	sí	sí	sí	sí	sí	i provaria aigua suficient, evidentment, i el...	i doncs prohibiré aigua suficient, evidentment,  i el que li va dir.
pa-006	evidentment	124.25-131.75	clips/pa-006__evidentment__124.25.wav	no	sí	no	sí	no	Aquest tipus de rota d'aigua es fa servir amb rius, amb una gran quantitat d'aigua.	I aquest tipus d'hora de raig, eh?  Aquí és servir evidentment amb reus  amb un gran quantitat d'aigua.  És a dir, és ser reus.
pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	sí	sí	sí	sí	sí	Els 2010 van passar a anomenar-se per motius polítics, evidentment,	dels 10.000 van passar en humanar-se per motius polítics, evidentment, però potser també
pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	sí	sí	sí	sí	sí	L'hora de venir, evidentment, si era l'estiu o era l'hivern, tant cabell	Lora de penia, evidentment, si era l'estiu o era l'hivern, tancaven el dia.
pa-011	evidentment	157.65-163.71	clips/pa-011__evidentment__157.65.wav	sí	no	sí	no	no	evidentment que el Pal és una casa molt més gran que qualsevol casa més humil.	I de menca el pal és una casa molt mesural que pot ser qualsevol casa més humil.
pa-013	evidentment	530.29-540.27	clips/pa-013__evidentment__530.29.wav	no	sí	no	sí	no	i algunes de les seves característiques són l'ús del graní, un material difícil de treballar, però molt bons resultats.	i algunes de les seves característiques, doncs són, evidentment, l'ús del graní,  un material difícil de treballar per molt bons resultats,  que...
pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	sí	sí	sí	sí	sí	que és el nostre país, patrimoni cultural, evidentment.  Quan em demanen per anar amb alguna escola  per explicar quines són les tradicions i quines són...	a tremoni cultural, evidentment. Quan em demanem parlant amb alguna escola per explicar  qui no són les tradicions i qui no són les eleccions.
pa-016	evidentment	456.85-463.03	clips/pa-016__evidentment__456.85.wav	sí	sí	sí	sí	sí	I, evidentment, si has de dir alguna cosa, ho dius a les sessions que tens intern.	i evidentment, si es diria algú, ho dius a les sessions que tens intern.
pa-017	evidentment	152.25-161.75	clips/pa-017__evidentment__152.25.wav	sí	no	sí	no	no	Evidentment, amb coses diferents perquè penso que el que era la part d'endorra la vella i l'escaldes era...	Evidament, amb coses diferents perquè penso que la part endorre la vella i escaldes
pa-019	evidentment	93.25-97.75	clips/pa-019__evidentment__93.25.wav	sí	no	sí	no	no	que va ser un factor que també, evidentment, posava una certa part.	que entenió va ser un factor que també ha volgut posar a bona certa.
pa-020	evidentment	117.57-122.27	clips/pa-020__evidentment__117.57.wav	no	sí	no	sí	no	d'una manera i d'una altra.	Evidentment, teníem el electorat d'una manera i el electorat d'una altra, eh?
pa-021	evidentment	211.41-215.75	clips/pa-021__evidentment__211.41.wav	sí	no	sí	no	no	I ells evidentment em donaven el seu pare.	d'aquí a la resta de l'estranger d'aquestes i d'aquestes.
pa-022	evidentment	303.01-309.59	clips/pa-022__evidentment__303.01.wav	sí	sí	sí	sí	sí	Evidentment van treballar, ho vam separar per comissions.	i evidentment van treballar-ho amb separar per comissions, evidentament.
pa-024	evidentment	518.89-523.51	clips/pa-024__evidentment__518.89.wav	sí	no	sí	no	no	que el dia l'oligarquia o el dia lleveu, evidentment.	El dia de la oligarquia, i el dia de la oligarquia.
pa-025	evidentment	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	sí	sí	sí	sí	sí	Tinc els noms, que evidentment no us els donaré.	Els noms, evidentment, no us els donen, eh?
pa-026	evidentment	1648.81-1653.83	clips/pa-026__evidentment__1648.81.wav	no	no	no	no	no	de les llibertats dels drets i llibertats que hi ha a la Constitució.	de les llibertats, de les llibertats que hi ha a la Constitució.
pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	sí	sí	sí	sí	sí	Per tant, finances, evidentment, pels pressupostos i...	per tant, finançes, evidentment, pel pressupost i...
pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	sí	sí	sí	sí	sí	com estaven, doncs evidentment no era el nostre tarannà.  Per almenys el meu.	com estaven, doncs evidentment no era el nostre tarant.  Per la menys del meu.
pa-035	evidentment	472.93-481.79	clips/pa-035__evidentment__472.93.wav	no	no	no	no	no	de la gent que va ser a la ciutat i a la ciutat.  A la ciutat no s'havia d'agafar els llocs,  els llocs que tenien el poder.	d'altres, d'altres, d'altres, d'altres.
pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	sí	sí	sí	sí	sí	A més enllà, ens va costar fer aquest pas important,  després, evidentment, entrem a la legislatura crítica  o a la més forta que hi ha.	va costar fer aquest pas important, després evidentment entre la legislatura crítica o la més forte.
pa-039	evidentment	184.17-188.67	clips/pa-039__evidentment__184.17.wav	sí	no	sí	no	no	Evidentment, la siniciatura, claro.	i viuen la silnicatura, clar, que és la gent.
pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	sí	sí	sí	sí	sí	que es poden fer més en positiu.  Evidentment hauria sigut un daltabaix,	El que passa és que no s'han positiu.  Evidentment, hagués sigut un dalt a baix, que si no s'hagués.
pa-041	evidentment	353.25-360.75	clips/pa-041__evidentment__353.25.wav	sí	sí	sí	sí	sí	amb la responsabilitat, amb les persones que hi treballàvem, evidentment,  per dir, és que això no és una cosa per ara,	una concebilitat amb les persones que hi treballaven evidentment.  Per dir, bueno, és que això no és una cosa per ara.
pa-045	evidentment	290.13-298.31	clips/pa-045__evidentment__290.13.wav	sí	sí	sí	sí	sí	que tenen senyor o, evidentment,  en una sèrie de condicions molt clares,  d'un nombre de persones.	que tenen senyar-ho, evidentment, amb una sèrie de condicions molt clares,  perquè hi ha nombre de persones.
pa-046	evidentment	705.69-711.03	clips/pa-046__evidentment__705.69.wav	no	no	no	no	no	que es podria fer a l'estat espanyol.	que es posa a la lluita.
pa-049	evidentment	117.17-126.51	clips/pa-049__evidentment__117.17.wav	sí	no	sí	no	no	Volem arrancar el moment primer,  el primer fil del teu contacte amb la vida,  que evidentment és el lloc on...	No ho sé, no ho sé, no ho sé.
pa-055	evidentment	1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	sí	sí	sí	sí	sí	que dintre d'això hi havia punts essencials, evidentment,	que dintre de això hi havia punts essencials, evidentment, de les libertades.
pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	sí	sí	sí	sí	sí	com estaven, doncs evidentment no era el nostre tarannà,  per almenys el meu.	com estaven, evidentment no era el nostre tarant nou,  per la menys del meu.
pa-059	evidentment	152.13-162.03	clips/pa-059__evidentment__152.13.wav	sí	no	sí	no	no	Evidentment, amb coses diferents perquè penso que el que era la part d'endorra la vella i escaldes era en potser...	No sé si això no és un llibre.  No sé si això no és un llibre.  Per què penso que la part endorra de la vella i escàldez
pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	sí	sí	sí	sí	sí	i després hi havia el factor, evidentment, diferent.  Se'l deprem, clar, que no.	d'aquestes d'origen, i després hi havia el factor i, evidentment,  diferent sal de prou, la barca.
pa-062	evidentment	163.29-166.67	clips/pa-062__evidentment__163.29.wav	no	no	no	no	no	però també cultivar.	M'he cultivat.  Proto-me cultivat. Comenceu per alguna cosa tan...
pa-064	evidentment	485.89-491.71	clips/pa-064__evidentment__485.89.wav	no	sí	no	sí	no	Té molts grups.	Tés, evidentment, vostè deu tindrem els recursos dolents,  però també un moment.
pa-066	evidentment	89.75-95.41	clips/pa-066__evidentment__89.75.wav	sí	no	sí	no	no	evidentment tota la part del sota em va quedar absolutament inundat.	d'aquesta part de l'estat i de l'estat de l'estat.
pa-003	diguem	212.85-219.51	clips/pa-003__diguem__212.85.wav	no	sí	no	sí	no	Aquesta és la primera acció d'ordre polític.	Aquesta és la primera acció, diguem un d'ordre polític.
pa-006	diguem	530.25-535.75	clips/pa-006__diguem__530.25.wav	sí	no	sí	no	no	modernes. Les primeres instal·lacions de producció elèctrica, diguem endorra,	moderns, les primeres instal·lacions i de producció elèctric que digui a d'Andorra,
pa-007	diguem	585.25-591.75	clips/pa-007__diguem__585.25.wav	sí	sí	sí	sí	sí	per la frontera, diguem que es va generar un debat força encès a les courses espanyoles.	per la funtera, diguem que es va generar un debat força en ces a les corses penones.  I aquí...
pa-008	diguem	374.25-379.75	clips/pa-008__diguem__374.25.wav	no	sí	no	sí	no	de Carlet.  Diríem que pràcticament la definició de les falles d'Andorra és absurda.	de la carlet. Diguem que pràcticament la definició de les falles d'endorra és absurder.
pa-009	diguem	60.25-66.75	clips/pa-009__diguem__60.25.wav	no	sí	no	sí	no	que seria l'aliació perfecta per tenir una bona sonoritat.	que seria l'aliació perfecta, diguem-ne, per tenir una bona sonoritat.
pa-018	diguem	715.49-721.19	clips/pa-018__diguem__715.49.wav	sí	sí	sí	sí	sí	que els altres que se'ns va anar apropant, diguem,  però vosaltres realment voleu fer això,  és que vosaltres...	que sense anar a propant, diguem, però vosaltres realment volen fer això.  És que vosaltres realment volen fer això.
pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	sí	sí	sí	sí	sí	I va haver una certa, diguem-ne, un bon feeling, no?	I m'ha aviat una certa, diguem-ne, un bon fillig, no?
pa-020	diguem	1459.77-1463.95	clips/pa-020__diguem__1459.77.wav	sí	no	sí	no	no	Diguem el que pensem, després de les votacions,	Tinc el que pensem, després les votacions o que guanyar el guanyar.
pa-022	diguem	447.57-453.55	clips/pa-022__diguem__447.57.wav	no	no	no	no	no	i guardar el mateix temps els usos certs usos i costums.	d'alguna manera.
pa-023	diguem	55.05-60.95	clips/pa-023__diguem__55.05.wav	no	no	no	no	no	Jo el que em anava a la policia era en els veguers i amb el procés.	de la policia i no els vegués i amb el procés.
pa-025	diguem	500.89-506.43	clips/pa-025__diguem__500.89.wav	sí	sí	sí	sí	sí	i de competències que en francès en diguem regalient.	i de competències que hem francesen, diguem, regalien, és la vida.
pa-027	diguem	57.77-63.27	clips/pa-027__diguem__57.77.wav	sí	no	sí	no	no	permanent, diguem sovint que és llàstima que no haguéssim allargat el lloc de...	de les eleccions de l'estima que no s'haguéssim allargat.
pa-028	diguem	168.89-174.15	clips/pa-028__diguem__168.89.wav	no	no	no	no	no	m'és fort o més velló, però...	hem esforçat més de llò, però...
pa-029	diguem	929.69-935.51	clips/pa-029__diguem__929.69.wav	sí	no	sí	no	no	però que no siguis un club, diguem-ho així.	Però que no sigui un club, dic-m'ho així, la llei.
pa-033	diguem	49.01-55.91	clips/pa-033__diguem__49.01.wav	sí	no	sí	no	no	normalment es revia amb... amb interès, diguem, es revia amb interès.	Doncs normalment es revie amb interès.
pa-034	diguem	504.45-508.51	clips/pa-034__diguem__504.45.wav	sí	sí	sí	sí	sí	i moltes persones de la cor antenna, diguem, no?	de la corentena, diguem, no?
pa-037	diguem	469.77-482.03	clips/pa-037__diguem__469.77.wav	sí	sí	sí	sí	sí	Bé, marxar. Una cosa que em va satisfir molt va ser que vaig fer desíndic, diguem-ho així,  durant una hora o més.	una cosa que em va ser desfem molt, molt,  va ser que vaig fer desindic, diguem-ho, xis,  durant misora o una hora.
pa-038	diguem	251.25-260.55	clips/pa-038__diguem__251.25.wav	no	sí	no	sí	no	el seu gust, però generalment inspirats o tele dirigits.	el seu gust, però, generalment, inspirats o, diguem, tele dirigit.
pa-039	diguem	144.37-152.95	clips/pa-039__diguem__144.37.wav	no	no	no	no	no	i això és el que ha de fer a l'estratègia jurídica  i d'altres amb certa representativitat de país, digueu-ho així.	i d'altres amb cert representativitat de país.
pa-046	diguem	626.01-630.19	clips/pa-046__diguem__626.01.wav	sí	sí	sí	sí	sí	A part de les patates o les tronfes, que diguem a Canillo.	de les patates o les trumfes que diguem a canellos.
pa-049	diguem	213.13-220.43	clips/pa-049__diguem__213.13.wav	sí	no	sí	no	no	que no havia, avui dia, a Calarenya i al Cíndic General,  per fer una mica de publicitat d'endorra.  Diguem que endorra era un poble.	No avia avui dir a Calerany i a dir a els indics general,  per fer una mica de publicitat d'endor.  D'aquests d'endorres,
pa-057	diguem	929.81-935.31	clips/pa-057__diguem__929.81.wav	sí	sí	sí	sí	sí	però que no siguis un club, diguem-ho així.	Però que no sigui és un club, diguem-ho així.
pa-058	diguem	715.21-718.91	clips/pa-058__diguem__715.21.wav	sí	sí	sí	sí	sí	per nosaltres, que se ens van apropant, diguem, per vosaltres.	que se'ns va anar a propant, diguem, però vosaltres.
pa-060	diguem	55.05-60.91	clips/pa-060__diguem__55.05.wav	no	no	no	no	no	Jo el que em va anar a veure a la policia era en els veguers.	El que mena la policia era el que es vegués i el procés.
pa-062	diguem	191.37-197.03	clips/pa-062__diguem__191.37.wav	sí	sí	sí	sí	sí	i aquesta bata, que a canilló en diguem una brusa.	i aquesta vata, que en diuen, diguem una bruja.
pa-001	crec	97.33-100.95	clips/pa-001__crec__97.33.wav	sí	sí	sí	sí	sí	i crec que finalment va acabar a força bé.	i crec que fins a menys va acabar força bé.  Per part.
pa-002	crec	248.25-254.75	clips/pa-002__crec__248.25.wav	sí	sí	sí	sí	sí	Jo crec que més que espantar diria que no se'n coneixia el contingut.	I jo crec que més que espantar diria que no s'inconegui el contingut.
pa-003	crec	0.00-7.19	clips/pa-003__crec__0.00.wav	sí	sí	sí	sí	sí	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.
pa-010	crec	1033.25-1036.75	clips/pa-010__crec__1033.25.wav	sí	no	sí	no	no	i que crec que és prou encertada.	i jo, en gruminis, i que queda que és pròlent segona.
pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	sí	sí	sí	sí	sí	I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	i jo crec que també em mou que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest ámbit, que és una mica...
pa-016	crec	93.17-100.83	clips/pa-016__crec__93.17.wav	sí	no	sí	no	no	i la responsabilitat que tens, per mi és imposa.  Crec que sí, jo no tinc...	i la responsabilitat que tens per mi és, bon, imposer, clar que sí, jo no tinc...
pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	sí	sí	sí	sí	sí	i després jo crec que el problema que hi ha dels 78 és que...	I després, jo crec que el problema que hi ha dels 78 és de què...
pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	sí	sí	sí	sí	sí	i en aquell moment jo crec que en Dorre necessitava.	en aquell moment, jo crec que en dos repos necessitaven,  per entrar al llibre.
pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	sí	sí	sí	sí	sí	I jo crec que el fet de que amb el consell anterior passés el que va passant.	Jo crec que el fet de què m'alconseguin anterior  va ser el que va passar.
pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	sí	sí	sí	sí	sí	I jo crec que un factor important és el canvi generacional, també, entreu.	Jo crec que un factor important és al canvi d'internacional, també, entreu.
pa-023	crec	42.93-50.23	clips/pa-023__crec__42.93.wav	no	sí	no	sí	no	Com que no depenia del govern, el PAM creia que era en 84.	Com que no depenia del govern el vam crear, crec que l'em84.
pa-024	crec	368.01-372.63	clips/pa-024__crec__368.01.wav	sí	sí	sí	sí	sí	I aleshores, la banda, jo crec que els carrers...	Jo crec que los carribes, però no...
pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	sí	sí	sí	sí	sí	Jo crec que el que es volia era trobar la manera d'arribar.	Jo crec que es vulguiere trobarà la manera de arribar.
pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	sí	sí	sí	sí	sí	I ho recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	i jo recordo perquè no crec que era l'arradió i no sé si hi havia televisió en aquest moment.  En l'alcult de l'alcult de l'alcult.
pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	sí	sí	sí	sí	sí	perquè jo crec que hi ha alguns que em donen la sensació	Per què jo crec que hi ha alguns que em donen a sensació que n'hi espanyol.
pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	sí	sí	sí	sí	sí	de sort, però realment jo crec que l'esperit de la gent no hi ha ni pensat.	de sort, però, realment, jo crec que l'esprit de la gent no hi hagi
pa-034	crec	651.65-657.27	clips/pa-034__crec__651.65.wav	sí	no	sí	no	no	O com pot ser, vull dir, crec que pot ser fàcil, no?	o com pot ser-ho dir que pot ser fàcil, no?
pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	sí	sí	sí	sí	sí	jo no crec que s'hagi de canviar massa, massa sovint d'una constitució.	Jo no crec que s'haig de canviar massa, massa subindulant la costidució.  Adéixeu-ne.
pa-037	crec	424.61-437.99	clips/pa-037__crec__424.61.wav	sí	no	sí	no	no	de fa molts anys en darrere i, a bon lloc d'extensió,  hem de mirar que s'acabin i se n'han acabat.  Jo crec que se n'han acabat.	de fa molts anys en darrere i abans de les distencions,  hem de mirar que s'acabin i s'han acabat, jo penso que s'han acabat.
pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	sí	sí	sí	sí	sí	Bé, jo crec que l'atac de nacionalisme que ens va moure...	Jo crec que la tac de nacionalisme que ens va morir.
pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	sí	sí	sí	sí	sí	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	m'ho explicarà.  Doncs jo crec que aquesta meva vulguer marcar...
pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	sí	sí	sí	sí	sí	Jo crec que he pogut entrar en càrregues.	Jo crec que desput entrar gairebé sigut...
pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	sí	sí	sí	sí	sí	als pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	Els pares jo crec que van fer una feina molt important  amb aquells primers anys a l'escola d'orana.
pa-042	crec	32.01-37.35	clips/pa-042__crec__32.01.wav	no	sí	no	sí	no	i el que hem de fer és que no hi hagi gaire malaltia.	Crec que és el problema de tothom que entra a l'escola o que demana una hora.
pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	sí	sí	sí	sí	sí	per mi l'escola andorrana és una identitat no, jo crec.	que està a dir.  Per mi l'escola Endor Rana és que es veu una identitat, no, jo crec.  És a dir, tots els albertats.
pa-045	crec	240.61-245.63	clips/pa-045__crec__240.61.wav	no	sí	no	sí	no	No ho sé, però no ho sé.	de l'obra d'art.  Si em siguin basicament, jo crec que això, no?
pa-046	crec	208.41-212.47	clips/pa-046__crec__208.41.wav	no	no	no	no	no	i el que hem fet és que hi hagi una via certada.	i no és altres que hem agafat una via a ser dada,
pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	sí	sí	sí	sí	sí	Si hi ha cel, jo no crec ni en l'infern, ni en el purgatori, ni en el cel.	Si hi ha cel, jo no crec ni el meu infern, ni el purgatori, ni el cel.
pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	sí	sí	sí	sí	sí	M'agradaria que no hi havia res.  Jo crec que en aquella època, pràcticament tot devia ser necessari,  per la falta, precisament, de tot el que hi havia aquí al país.	I jo crec que amb aquella època va ser necessari per la palta,  precisament de tot el que hi havia aquí el país.
pa-051	crec	208.57-213.39	clips/pa-051__crec__208.57.wav	sí	sí	sí	sí	sí	No crec que arribi amb totes les ovelles de canillo sent.	No crec que arribi amb totes les húuelles de canilla, seny.
pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	sí	sí	sí	sí	sí	perquè jo crec que hi ha alguns que em donen una sensació	Perquè jo crec que hi ha alguns que em donen associacions  que n'hi esparran.
pa-058	crec	6.69-12.71	clips/pa-058__crec__6.69.wav	no	sí	no	sí	no	I el problema que hi ha del 78 és que...	I després jo crec que el problema que hi ha dels 78 és d'aquest...
pa-060	crec	42.05-50.19	clips/pa-060__crec__42.05.wav	sí	no	sí	no	no	que es vegués. No depenia del Govern, el vam crear, crec que l'hem 84.	com que no depenia del govern el pàmpic crea que l'844.
pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	sí	sí	sí	sí	sí	que hi ha una cosa que jo crec que és importantíssima,  que és el vinó.	Hi ha una cosa que jo crec que és important.
pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	sí	sí	sí	sí	sí	que el va callar, jo crec que has tallat el pernil.  Sí.	i jo crec que has tallat el per a n'hi-el.
pa-063	crec	758.81-763.23	clips/pa-063__crec__758.81.wav	sí	sí	sí	sí	sí	que comprin.  Això és el que hem d'intentar i jo crec que s'està fent.	Això és el que hem d'intentar.  Jo crec que s'està fent naturalment.
pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	sí	sí	sí	sí	sí	la família, jo crec que és l'escència de viure bé i en pau.	La família, jo crec que la sensia té bíure bé i ambà.
pa-065	crec	1276.85-1281.67	clips/pa-065__crec__1276.85.wav	sí	no	sí	no	no	Sí, jo crec que... i aquests camins, i aquests cims...	Jo et dic que ja que ets camins, ja que ets sims.
pa-066	crec	219.63-227.13	clips/pa-066__crec__219.63.wav	sí	sí	sí	sí	sí	La col·laboració del banc amb l'entorn amb el país crec que va ser important.	la col·laboració del banc amb l'entorn, amb el país, crec que va ser important.
pa-001	bueno	207.01-212.99	clips/pa-001__bueno__207.01.wav	no	no	no	no	no	I aleshores, a partir d'aquí van anar sortint els problemes del dia a dia,	i aleshores, per a partir d'aquí van assortir els problemes del dia a dia.
pa-002	bueno	433.25-440.75	clips/pa-002__bueno__433.25.wav	no	no	no	no	no	Bé, aquí es va decidir, en aquell moment no hi havia comensió.	Aquí s'ha de decidir a maquill moment, i a bé com és.
pa-003	bueno	227.05-235.71	clips/pa-003__bueno__227.05.wav	sí	no	sí	no	no	"totalitari perquè hi havia pares en el sentit de dir  ""Bueno, hi existeix un sistema educatiu ric""."	perquè hi havia parez en el sentit de dir,  hi hadgixteix un sistema educatiu ric.
pa-007	bueno	475.25-480.75	clips/pa-007__bueno__475.25.wav	no	no	no	no	no	d'aquesta manada humana i la resta dels sendorans.  Precisament d'aquest mossèn, de mossèn.	d'aquesta manera obera i la resta dels endurants.  Precisament d'aquest mossèn de mossèn
pa-008	bueno	969.25-973.75	clips/pa-008__bueno__969.25.wav	no	no	no	no	no	anys 90, anys 80, doncs anirem considerats com uns rexelabrats que l'únic que els hi ha...	40 anys, 80, doncs ara ens considerats com uns aixabrades que l'únic
pa-016	bueno	93.17-100.83	clips/pa-016__bueno__93.17.wav	no	no	no	no	no	i la responsabilitat que tens, per mi és imposa.  Crec que sí, jo no tinc...	i la responsabilitat que tens per mi és, bon, imposer, clar que sí, jo no tinc...
pa-017	bueno	823.25-829.75	clips/pa-017__bueno__823.25.wav	no	sí	no	sí	no	Les dones ens diuen que les han ficat aquí, les han aparcat una mica,  que faig el que hagin de fer, però que caigui.	Les dones ens deien, bueno, posmira.  Les han ficat aquí, les han aparcat una mica,  que faig en el que haïm de fer, però que caigui.
pa-018	bueno	23.21-28.91	clips/pa-018__bueno__23.21.wav	no	no	no	no	no	I llavors busquem allà a fer sis propostes, es posen...	i va posar a posar-ho a la malaltia de la pròpia de l'estat de la realitat.
pa-019	bueno	328.25-333.75	clips/pa-019__bueno__328.25.wav	sí	no	sí	no	no	Però bueno, la corrent aquesta jo crec que ja era a mi imperable.	Però no la curren aquesta, jo crec que ja ara m'imparàplau.  Home, però aquí veia que...
pa-020	bueno	13.57-19.47	clips/pa-020__bueno__13.57.wav	no	no	no	no	no	Vam parlar ràpid i vam anar a la reunió, vam començar a parlar,	Potser va començar a parlar i vam veure amb l'àmbit.
pa-021	bueno	12.25-16.87	clips/pa-021__bueno__12.25.wav	sí	sí	sí	sí	sí	i es va obligar, i, bueno, les hores, doncs,	que pliga i, bueno, és ara, doncs, em van convidar-ho.
pa-022	bueno	122.85-126.95	clips/pa-022__bueno__122.85.wav	no	no	no	no	no	que va ser amb arribar-te a aquest punt, ara toqui.	que va ser amb arribat amb aquest punt ara toque.
pa-023	bueno	96.81-100.35	clips/pa-023__bueno__96.81.wav	sí	no	sí	no	no	bueno, de l'aldozo del niño...	de l'altosa de que n'hi he dit.
