ordre	rang	prioritat	categoria_base	id_persona	forma	clip	absolute_start_s	absolute_end_s	prob_min	text	text_base	f0_hz	f1_hz	f2_hz	f3_hz	f0_base	f1_base	f2_base	f3_base	justificacio	decisio_auditiva	variant_transcrita	trets_fonetica	observacions_prosodia	nota_audicio
88	3	C-divergència-small-base	B-small-only	pa-052	bueno	clips/pa-052__bueno__41.97.wav	43.680	44.200	0.7880	bueno	i heu erro de dins de germans.	205.62	641.05	1755.08	2933.12					la forma només apareix al small; comparar amb l’àudio					
89	3	C-divergència-small-base	B-small-only	pa-064	o sigui	clips/pa-064__o-sigui__36.73.wav	38.250	38.600	0.7590	o sigui	A més, les seves gràcies a les eleccions d'aquesta vegada.		1337.80	2039.14	3105.24					la forma només apareix al small; comparar amb l’àudio					
90	3	C-divergència-small-base	B-small-only	pa-033	diguem	clips/pa-033__diguem__49.01.wav	54.140	54.540	0.7151	diguem	Doncs normalment es revie amb interès.		2555.08	3137.06	3452.11					la forma només apareix al small; comparar amb l’àudio					
91	3	C-divergència-small-base	B-small-only	pa-025	aleshores	clips/pa-025__aleshores__361.93.wav	362.340	363.570	0.7026	aleshores	I a les hores ens es tornen més primirats.	106.86	515.64	1304.32	2436.74					la forma només apareix al small; comparar amb l’àudio					
92	3	C-divergència-small-base	B-small-only	pa-003	ensenyança	clips/pa-003__ensenyan-a__279.69.wav	282.410	283.280	0.6760	ensenyança	que s'integre amb una primera enseñanza de sistemes educatius estrangers.	161.49	656.50	854.82	1855.85					la forma només apareix al small; comparar amb l’àudio					
93	3	C-divergència-small-base	B-small-only	pa-037	bueno	clips/pa-037__bueno__105.29.wav	111.940	112.240	0.6636	bueno	d'acompanyar-se, d'acompanyar-se.		755.32	1614.23	2587.05					la forma només apareix al small; comparar amb l’àudio					
94	3	C-divergència-small-base	B-small-only	pa-061	o sigui	clips/pa-061__o-sigui__161.05.wav	162.250	162.600	0.6361	O sigui	Si la primera activitat dels germans, despionés, peri...	188.12	368.02	2059.89	2336.61					la forma només apareix al small; comparar amb l’àudio					
95	3	C-divergència-small-base	B-small-only	pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	580.370	580.710	0.6284	És a dir	és de dir, l'arquitectura de granites dona en un moment de reconversió gradual del nostre país que passa de ser	181.82	771.33	1797.60	2756.48					la forma només apareix al small; comparar amb l’àudio					
96	3	C-divergència-small-base	B-small-only	pa-012	perquè	clips/pa-012__perqu__369.25.wav	369.250	369.360	0.6158	perquè	per que la gent és recording d'aquesta setmana.		433.36	1700.56	2252.79					la forma només apareix al small; comparar amb l’àudio					
97	3	C-divergència-small-base	B-small-only	pa-056	aleshores	clips/pa-056__aleshores__393.13.wav	393.430	394.340	0.5797	aleshores	i a desarres això està tan quadrícolat.		804.24	2099.02	3162.82					la forma només apareix al small; comparar amb l’àudio					
98	3	C-divergència-small-base	B-small-only	pa-061	llavors	clips/pa-061__llavors__380.77.wav	382.250	382.660	0.5349	llavors	"-Exactament.
 -Ella abans comença a tornar a agradar-s'hi."	192.71	754.58	1094.07	2152.52					la forma només apareix al small; comparar amb l’àudio					
99	3	C-divergència-small-base	B-small-only	pa-002	reformeta	clips/pa-002__reformeta__12.25.wav	15.750	16.650	0.3873	reformeta	Però no que s'hagués fet que s'havia de reformar-te.		722.84	2133.10	3577.82					la forma només apareix al small; comparar amb l’àudio					
100	3	C-divergència-small-base	B-small-only	pa-014	aviam	clips/pa-014__aviam__875.45.wav	877.450	877.450	0.1944	aviam	"d'una cosa, i van dir, escolteu, ho havíem.
 Imaginau-se que les malades apareix.
 Què passa amb el contrapass?
 Estàs deixant el de ballar?"		658.24	1627.67	2437.73					la forma només apareix al small; comparar amb l’àudio					
