id_persona	forma	interval_escolta	clip	json_base	n_matches	token_match	token_matches
pa-041	clar	0.00-10.75	clips/pa-041__clar__0.00.wav	qa-consens-base-json/pa-041__clar__0_00.json	1	sí	"[{""start"":3.53,""end"":3.9,""p_min"":0.443741,""text"":""clar""}]"
pa-051	clar	161.85-167.07	clips/pa-051__clar__161.85.wav	qa-consens-base-json/pa-051__clar__161_85.json	0	no	[]
pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav	qa-consens-base-json/pa-052__clar__59_97.json	1	sí	"[{""start"":61.96,""end"":62.24,""p_min"":0.789144,""text"":""clar""}]"
pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	qa-consens-base-json/pa-056__clar__62_45.json	1	sí	"[{""start"":63.71,""end"":64.01,""p_min"":0.842265,""text"":""clar""}]"
pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	qa-consens-base-json/pa-059__clar__36_61.json	1	sí	"[{""start"":38.19,""end"":38.339999999999996,""p_min"":0.912632,""text"":""clar""}]"
pa-063	clar	392.49-397.11	clips/pa-063__clar__392.49.wav	qa-consens-base-json/pa-063__clar__392_49.json	1	sí	"[{""start"":392.84000000000003,""end"":393.11,""p_min"":0.701489,""text"":""clar""}]"
pa-064	clar	109.97-115.87	clips/pa-064__clar__109.97.wav	qa-consens-base-json/pa-064__clar__109_97.json	1	sí	"[{""start"":110.08,""end"":110.44,""p_min"":0.380815,""text"":""clar""}]"
pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	qa-consens-base-json/pa-065__clar__221_29.json	1	sí	"[{""start"":222.12,""end"":222.45999999999998,""p_min"":0.980612,""text"":""clar""}]"
pa-004	vull dir	143.45-150.59	clips/pa-004__vull-dir__143.45.wav	qa-consens-base-json/pa-004__vull-dir__143_45.json	1	sí	"[{""start"":144.23,""end"":144.63,""p_min"":0.308187,""text"":""vull dir""}]"
pa-014	vull dir	19.65-30.15	clips/pa-014__vull-dir__19.65.wav	qa-consens-base-json/pa-014__vull-dir__19_65.json	1	sí	"[{""start"":24.45,""end"":24.84,""p_min"":0.124706,""text"":""vull dir""}]"
pa-017	vull dir	272.25-279.75	clips/pa-017__vull-dir__272.25.wav	qa-consens-base-json/pa-017__vull-dir__272_25.json	1	sí	"[{""start"":272.25,""end"":273.0,""p_min"":0.11509,""text"":""Vull dir""}]"
pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	qa-consens-base-json/pa-021__vull-dir__314_29.json	1	sí	"[{""start"":317.8,""end"":318.89000000000004,""p_min"":0.819321,""text"":""vull dir""}]"
pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	qa-consens-base-json/pa-030__vull-dir__842_69.json	1	sí	"[{""start"":843.44,""end"":844.49,""p_min"":0.533383,""text"":""vull dir""}]"
pa-037	vull dir	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	qa-consens-base-json/pa-037__vull-dir__414_01.json	1	sí	"[{""start"":414.01,""end"":414.68,""p_min"":0.0805295,""text"":""Vull dir""}]"
pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	qa-consens-base-json/pa-038__vull-dir__1576_57.json	1	sí	"[{""start"":1580.26,""end"":1581.01,""p_min"":0.651485,""text"":""vull dir""}]"
pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	qa-consens-base-json/pa-041__vull-dir__264_25.json	1	sí	"[{""start"":264.54,""end"":265.38,""p_min"":0.224443,""text"":""vull dir""}]"
pa-048	vull dir	993.69-999.19	clips/pa-048__vull-dir__993.69.wav	qa-consens-base-json/pa-048__vull-dir__993_69.json	1	sí	"[{""start"":995.12,""end"":996.4300000000001,""p_min"":0.390667,""text"":""vull dir""}]"
pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	qa-consens-base-json/pa-056__vull-dir__842_65.json	1	sí	"[{""start"":843.4,""end"":844.4499999999999,""p_min"":0.635159,""text"":""vull dir""}]"
pa-058	vull dir	975.13-979.55	clips/pa-058__vull-dir__975.13.wav	qa-consens-base-json/pa-058__vull-dir__975_13.json	1	sí	"[{""start"":977.55,""end"":977.93,""p_min"":0.889069,""text"":""vull dir""}]"
pa-059	vull dir	271.81-279.35	clips/pa-059__vull-dir__271.81.wav	qa-consens-base-json/pa-059__vull-dir__271_81.json	1	sí	"[{""start"":271.81,""end"":272.72,""p_min"":0.0430957,""text"":""Vull dir""}]"
pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	qa-consens-base-json/pa-009__o-sigui__234_25.json	1	sí	"[{""start"":236.34,""end"":236.62,""p_min"":0.253759,""text"":""o sigui""}]"
pa-014	o sigui	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	qa-consens-base-json/pa-014__o-sigui__658_45.json	1	sí	"[{""start"":662.0500000000001,""end"":662.49,""p_min"":0.308456,""text"":""o sigui""}]"
pa-022	o sigui	42.93-48.95	clips/pa-022__o-sigui__42.93.wav	qa-consens-base-json/pa-022__o-sigui__42_93.json	0	no	[]
pa-045	o sigui	226.17-233.31	clips/pa-045__o-sigui__226.17.wav	qa-consens-base-json/pa-045__o-sigui__226_17.json	1	sí	"[{""start"":226.17,""end"":227.07999999999998,""p_min"":0.0197175,""text"":""o sigui""}]"
pa-048	o sigui	581.65-585.99	clips/pa-048__o-sigui__581.65.wav	qa-consens-base-json/pa-048__o-sigui__581_65.json	1	sí	"[{""start"":581.65,""end"":582.18,""p_min"":0.0333402,""text"":""O sigui""}]"
pa-049	o sigui	365.21-373.35	clips/pa-049__o-sigui__365.21.wav	qa-consens-base-json/pa-049__o-sigui__365_21.json	1	sí	"[{""start"":367.45,""end"":367.65,""p_min"":0.123496,""text"":""o sigui""}]"
pa-063	o sigui	826.09-830.95	clips/pa-063__o-sigui__826.09.wav	qa-consens-base-json/pa-063__o-sigui__826_09.json	1	sí	"[{""start"":826.09,""end"":826.63,""p_min"":0.0141261,""text"":""O sigui""}]"
pa-065	o sigui	191.65-195.15	clips/pa-065__o-sigui__191.65.wav	qa-consens-base-json/pa-065__o-sigui__191_65.json	1	sí	"[{""start"":191.65,""end"":191.94,""p_min"":0.183549,""text"":""O sigui""}]"
pa-007	llavors	657.25-663.75	clips/pa-007__llavors__657.25.wav	qa-consens-base-json/pa-007__llavors__657_25.json	1	sí	"[{""start"":658.46,""end"":658.94,""p_min"":0.370295,""text"":""Llavors""}]"
pa-010	llavors	386.25-391.75	clips/pa-010__llavors__386.25.wav	qa-consens-base-json/pa-010__llavors__386_25.json	1	sí	"[{""start"":386.85,""end"":387.35,""p_min"":0.187901,""text"":""llavors""}]"
pa-037	llavors	92.53-106.79	clips/pa-037__llavors__92.53.wav	qa-consens-base-json/pa-037__llavors__92_53.json	1	sí	"[{""start"":94.99,""end"":95.95,""p_min"":0.562238,""text"":""llavors""}]"
pa-063	llavors	39.49-44.79	clips/pa-063__llavors__39.49.wav	qa-consens-base-json/pa-063__llavors__39_49.json	1	sí	"[{""start"":42.96,""end"":43.53,""p_min"":0.634084,""text"":""llavors""}]"
pa-002	a veure	126.25-132.75	clips/pa-002__a-veure__126.25.wav	qa-consens-base-json/pa-002__a-veure__126_25.json	1	sí	"[{""start"":126.26,""end"":127.93,""p_min"":0.0293254,""text"":""A veure""}]"
pa-007	a veure	89.25-96.75	clips/pa-007__a-veure__89.25.wav	qa-consens-base-json/pa-007__a-veure__89_25.json	1	sí	"[{""start"":90.22,""end"":90.72,""p_min"":0.938584,""text"":""a veure""}]"
pa-008	a veure	668.25-673.75	clips/pa-008__a-veure__668.25.wav	qa-consens-base-json/pa-008__a-veure__668_25.json	1	sí	"[{""start"":670.06,""end"":670.74,""p_min"":0.932873,""text"":""a veure""}]"
pa-011	a veure	551.81-556.27	clips/pa-011__a-veure__551.81.wav	qa-consens-base-json/pa-011__a-veure__551_81.json	1	sí	"[{""start"":554.3599999999999,""end"":555.26,""p_min"":0.474123,""text"":""a veure""}]"
pa-022	a veure	238.61-245.15	clips/pa-022__a-veure__238.61.wav	qa-consens-base-json/pa-022__a-veure__238_61.json	1	sí	"[{""start"":240.45000000000002,""end"":241.04000000000002,""p_min"":0.332221,""text"":""a veure""}]"
pa-023	a veure	268.81-272.59	clips/pa-023__a-veure__268.81.wav	qa-consens-base-json/pa-023__a-veure__268_81.json	1	sí	"[{""start"":268.82,""end"":269.36,""p_min"":0.0670804,""text"":""A veure""}]"
pa-025	a veure	388.01-395.23	clips/pa-025__a-veure__388.01.wav	qa-consens-base-json/pa-025__a-veure__388_01.json	1	sí	"[{""start"":388.01,""end"":388.59999999999997,""p_min"":0.14127,""text"":""A veure""}]"
pa-030	a veure	673.41-676.91	clips/pa-030__a-veure__673.41.wav	qa-consens-base-json/pa-030__a-veure__673_41.json	1	sí	"[{""start"":673.41,""end"":673.75,""p_min"":0.0484436,""text"":""A veure""}]"
pa-031	a veure	4.25-9.07	clips/pa-031__a-veure__4.25.wav	qa-consens-base-json/pa-031__a-veure__4_25.json	0	no	[]
pa-034	a veure	94.05-100.39	clips/pa-034__a-veure__94.05.wav	qa-consens-base-json/pa-034__a-veure__94_05.json	1	sí	"[{""start"":96.36999999999999,""end"":97.05,""p_min"":0.335541,""text"":""a veure""}]"
pa-036	a veure	153.05-160.15	clips/pa-036__a-veure__153.05.wav	qa-consens-base-json/pa-036__a-veure__153_05.json	1	sí	"[{""start"":154.53,""end"":155.03,""p_min"":0.076976,""text"":""a veure""}]"
pa-045	a veure	340.93-345.91	clips/pa-045__a-veure__340.93.wav	qa-consens-base-json/pa-045__a-veure__340_93.json	1	sí	"[{""start"":343.88,""end"":343.96,""p_min"":0.692242,""text"":""a veure""}]"
pa-048	a veure	393.93-397.03	clips/pa-048__a-veure__393.93.wav	qa-consens-base-json/pa-048__a-veure__393_93.json	1	sí	"[{""start"":395.57,""end"":395.65000000000003,""p_min"":0.0946239,""text"":""a veure""}]"
pa-049	a veure	244.85-252.03	clips/pa-049__a-veure__244.85.wav	qa-consens-base-json/pa-049__a-veure__244_85.json	1	sí	"[{""start"":253.26999999999998,""end"":253.45,""p_min"":0.589843,""text"":""a veure""}]"
pa-056	a veure	673.21-676.71	clips/pa-056__a-veure__673.21.wav	qa-consens-base-json/pa-056__a-veure__673_21.json	1	sí	"[{""start"":673.21,""end"":673.62,""p_min"":0.128056,""text"":""A veure""}]"
pa-061	a veure	579.17-583.39	clips/pa-061__a-veure__579.17.wav	qa-consens-base-json/pa-061__a-veure__579_17.json	1	sí	"[{""start"":581.49,""end"":581.99,""p_min"":0.163087,""text"":""a veure""}]"
pa-064	a veure	587.61-591.67	clips/pa-064__a-veure__587.61.wav	qa-consens-base-json/pa-064__a-veure__587_61.json	0	no	[]
pa-020	aviam	252.21-256.43	clips/pa-020__aviam__252.21.wav	qa-consens-base-json/pa-020__aviam__252_21.json	1	sí	"[{""start"":254.59,""end"":255.11,""p_min"":0.129533,""text"":""aviam""}]"
pa-005	doncs	71.13-77.11	clips/pa-005__doncs__71.13.wav	qa-consens-base-json/pa-005__doncs__71_13.json	1	sí	"[{""start"":71.13,""end"":71.61,""p_min"":0.713785,""text"":""Doncs""}]"
pa-009	doncs	139.25-145.75	clips/pa-009__doncs__139.25.wav	qa-consens-base-json/pa-009__doncs__139_25.json	1	sí	"[{""start"":139.25,""end"":139.52,""p_min"":0.508196,""text"":""Doncs""}]"
pa-010	doncs	24.65-31.67	clips/pa-010__doncs__24.65.wav	qa-consens-base-json/pa-010__doncs__24_65.json	1	sí	"[{""start"":26.72,""end"":27.08,""p_min"":0.762153,""text"":""doncs""}]"
pa-015	doncs	83.25-87.75	clips/pa-015__doncs__83.25.wav	qa-consens-base-json/pa-015__doncs__83_25.json	1	sí	"[{""start"":84.34,""end"":84.6,""p_min"":0.767523,""text"":""doncs""}]"
pa-016	doncs	62.33-69.43	clips/pa-016__doncs__62.33.wav	qa-consens-base-json/pa-016__doncs__62_33.json	1	sí	"[{""start"":67.28999999999999,""end"":67.28999999999999,""p_min"":0.893281,""text"":""Doncs""}]"
pa-017	doncs	459.25-464.75	clips/pa-017__doncs__459.25.wav	qa-consens-base-json/pa-017__doncs__459_25.json	1	sí	"[{""start"":460.59,""end"":460.99,""p_min"":0.835344,""text"":""doncs""}]"
pa-021	doncs	12.25-16.87	clips/pa-021__doncs__12.25.wav	qa-consens-base-json/pa-021__doncs__12_25.json	1	sí	"[{""start"":15.25,""end"":15.95,""p_min"":0.538207,""text"":""doncs""}]"
pa-028	doncs	329.33-334.79	clips/pa-028__doncs__329.33.wav	qa-consens-base-json/pa-028__doncs__329_33.json	1	sí	"[{""start"":329.33,""end"":329.69,""p_min"":0.0936847,""text"":""Doncs""}]"
pa-030	doncs	43.53-48.63	clips/pa-030__doncs__43.53.wav	qa-consens-base-json/pa-030__doncs__43_53.json	1	sí	"[{""start"":44.65,""end"":44.9,""p_min"":0.0395901,""text"":""doncs""}]"
pa-032	doncs	21.61-27.23	clips/pa-032__doncs__21.61.wav	qa-consens-base-json/pa-032__doncs__21_61.json	1	sí	"[{""start"":21.61,""end"":21.71,""p_min"":0.121615,""text"":""Doncs""}]"
pa-046	doncs	135.61-140.07	clips/pa-046__doncs__135.61.wav	qa-consens-base-json/pa-046__doncs__135_61.json	1	sí	"[{""start"":137.61,""end"":138.03,""p_min"":0.480387,""text"":""doncs""}]"
pa-048	doncs	302.89-306.79	clips/pa-048__doncs__302.89.wav	qa-consens-base-json/pa-048__doncs__302_89.json	1	sí	"[{""start"":303.33,""end"":303.78999999999996,""p_min"":0.153288,""text"":""doncs""}]"
pa-065	doncs	157.49-162.27	clips/pa-065__doncs__157.49.wav	qa-consens-base-json/pa-065__doncs__157_49.json	1	sí	"[{""start"":159.73000000000002,""end"":159.76000000000002,""p_min"":0.546565,""text"":""doncs""}]"
pa-001	perquè	59.57-63.31	clips/pa-001__perqu__59.57.wav	qa-consens-base-json/pa-001__perqu__59_57.json	1	sí	"[{""start"":60.3,""end"":60.78,""p_min"":0.573072,""text"":""perquè""}]"
pa-002	perquè	18.25-23.75	clips/pa-002__perqu__18.25.wav	qa-consens-base-json/pa-002__perqu__18_25.json	1	sí	"[{""start"":18.25,""end"":19.15,""p_min"":0.156209,""text"":""perquè""}]"
pa-003	perquè	201.57-207.03	clips/pa-003__perqu__201.57.wav	qa-consens-base-json/pa-003__perqu__201_57.json	1	sí	"[{""start"":201.57,""end"":201.98999999999998,""p_min"":0.135821,""text"":""perquè""}]"
pa-004	perquè	464.09-471.39	clips/pa-004__perqu__464.09.wav	qa-consens-base-json/pa-004__perqu__464_09.json	1	sí	"[{""start"":467.89,""end"":468.63,""p_min"":0.560963,""text"":""perquè""}]"
pa-007	perquè	101.25-107.75	clips/pa-007__perqu__101.25.wav	qa-consens-base-json/pa-007__perqu__101_25.json	1	sí	"[{""start"":101.97,""end"":102.39,""p_min"":0.701945,""text"":""perquè""}]"
pa-009	perquè	349.25-356.75	clips/pa-009__perqu__349.25.wav	qa-consens-base-json/pa-009__perqu__349_25.json	1	sí	"[{""start"":349.89,""end"":350.39,""p_min"":0.786379,""text"":""perquè""}]"
pa-014	perquè	105.85-115.75	clips/pa-014__perqu__105.85.wav	qa-consens-base-json/pa-014__perqu__105_85.json	1	sí	"[{""start"":107.92999999999999,""end"":108.44999999999999,""p_min"":0.450547,""text"":""Perquè""}]"
pa-015	perquè	86.25-92.75	clips/pa-015__perqu__86.25.wav	qa-consens-base-json/pa-015__perqu__86_25.json	1	sí	"[{""start"":87.69,""end"":88.32,""p_min"":0.82765,""text"":""perquè""}]"
pa-016	perquè	79.77-85.39	clips/pa-016__perqu__79.77.wav	qa-consens-base-json/pa-016__perqu__79_77.json	1	sí	"[{""start"":82.36,""end"":82.88,""p_min"":0.78515,""text"":""perquè""}]"
pa-017	perquè	4.25-12.15	clips/pa-017__perqu__4.25.wav	qa-consens-base-json/pa-017__perqu__4_25.json	1	sí	"[{""start"":6.4,""end"":6.85,""p_min"":0.761343,""text"":""perquè""}]"
pa-018	perquè	91.09-96.47	clips/pa-018__perqu__91.09.wav	qa-consens-base-json/pa-018__perqu__91_09.json	1	sí	"[{""start"":91.82000000000001,""end"":92.27000000000001,""p_min"":0.284173,""text"":""perquè""}]"
pa-019	perquè	101.25-105.75	clips/pa-019__perqu__101.25.wav	qa-consens-base-json/pa-019__perqu__101_25.json	1	sí	"[{""start"":101.56,""end"":101.93,""p_min"":0.608099,""text"":""perquè""}]"
pa-020	perquè	9.41-12.91	clips/pa-020__perqu__9.41.wav	qa-consens-base-json/pa-020__perqu__9_41.json	1	sí	"[{""start"":9.9,""end"":10.15,""p_min"":0.443627,""text"":""perquè""}]"
pa-025	perquè	37.17-40.43	clips/pa-025__perqu__37.17.wav	qa-consens-base-json/pa-025__perqu__37_17.json	1	sí	"[{""start"":37.940000000000005,""end"":38.34,""p_min"":0.572883,""text"":""perquè""}]"
pa-026	perquè	150.53-156.67	clips/pa-026__perqu__150.53.wav	qa-consens-base-json/pa-026__perqu__150_53.json	1	sí	"[{""start"":150.95,""end"":151.13,""p_min"":0.560467,""text"":""perquè""}]"
pa-027	perquè	8.81-14.39	clips/pa-027__perqu__8.81.wav	qa-consens-base-json/pa-027__perqu__8_81.json	1	sí	"[{""start"":9.65,""end"":10.24,""p_min"":0.652399,""text"":""perquè""}]"
pa-032	perquè	9.21-15.07	clips/pa-032__perqu__9.21.wav	qa-consens-base-json/pa-032__perqu__9_21.json	1	sí	"[{""start"":9.21,""end"":10.06,""p_min"":0.320391,""text"":""perquè""}]"
pa-035	perquè	181.13-186.35	clips/pa-035__perqu__181.13.wav	qa-consens-base-json/pa-035__perqu__181_13.json	1	sí	"[{""start"":181.89,""end"":182.01999999999998,""p_min"":0.164689,""text"":""perquè""}]"
pa-036	perquè	15.65-20.75	clips/pa-036__perqu__15.65.wav	qa-consens-base-json/pa-036__perqu__15_65.json	1	sí	"[{""start"":18.37,""end"":18.63,""p_min"":0.919921,""text"":""perquè""}]"
pa-037	perquè	186.29-198.91	clips/pa-037__perqu__186.29.wav	qa-consens-base-json/pa-037__perqu__186_29.json	1	sí	"[{""start"":195.04999999999998,""end"":195.64999999999998,""p_min"":0.821374,""text"":""perquè""}]"
pa-038	perquè	279.13-283.51	clips/pa-038__perqu__279.13.wav	qa-consens-base-json/pa-038__perqu__279_13.json	1	sí	"[{""start"":279.55,""end"":279.92,""p_min"":0.438634,""text"":""perquè""}]"
pa-040	perquè	25.21-30.07	clips/pa-040__perqu__25.21.wav	qa-consens-base-json/pa-040__perqu__25_21.json	1	sí	"[{""start"":25.21,""end"":25.720000000000002,""p_min"":0.388129,""text"":""perquè""}]"
pa-041	perquè	69.25-76.75	clips/pa-041__perqu__69.25.wav	qa-consens-base-json/pa-041__perqu__69_25.json	1	sí	"[{""start"":72.97,""end"":73.03,""p_min"":0.284944,""text"":""perquè""}]"
pa-042	perquè	29.13-33.43	clips/pa-042__perqu__29.13.wav	qa-consens-base-json/pa-042__perqu__29_13.json	1	sí	"[{""start"":31.23,""end"":31.57,""p_min"":0.530171,""text"":""perquè""}]"
pa-045	perquè	175.33-183.63	clips/pa-045__perqu__175.33.wav	qa-consens-base-json/pa-045__perqu__175_33.json	1	sí	"[{""start"":178.89000000000001,""end"":179.49,""p_min"":0.320237,""text"":""perquè""}]"
pa-049	perquè	68.85-75.71	clips/pa-049__perqu__68.85.wav	qa-consens-base-json/pa-049__perqu__68_85.json	1	sí	"[{""start"":74.27,""end"":74.55999999999999,""p_min"":0.892772,""text"":""perquè""}]"
pa-051	perquè	123.85-128.35	clips/pa-051__perqu__123.85.wav	qa-consens-base-json/pa-051__perqu__123_85.json	1	sí	"[{""start"":123.89999999999999,""end"":124.30999999999999,""p_min"":0.362622,""text"":""Perquè""}]"
pa-053	perquè	113.93-120.79	clips/pa-053__perqu__113.93.wav	qa-consens-base-json/pa-053__perqu__113_93.json	1	sí	"[{""start"":115.93,""end"":116.64,""p_min"":0.489504,""text"":""perquè""}]"
pa-054	perquè	80.45-85.43	clips/pa-054__perqu__80.45.wav	qa-consens-base-json/pa-054__perqu__80_45.json	1	sí	"[{""start"":83.17,""end"":83.71000000000001,""p_min"":0.418541,""text"":""perquè""}]"
pa-055	perquè	148.53-153.11	clips/pa-055__perqu__148.53.wav	qa-consens-base-json/pa-055__perqu__148_53.json	1	sí	"[{""start"":150.91,""end"":151.23,""p_min"":0.825004,""text"":""perquè""}]"
pa-056	perquè	31.73-35.07	clips/pa-056__perqu__31.73.wav	qa-consens-base-json/pa-056__perqu__31_73.json	1	sí	"[{""start"":33.78,""end"":33.95,""p_min"":0.474578,""text"":""perquè""}]"
pa-058	perquè	91.09-96.47	clips/pa-058__perqu__91.09.wav	qa-consens-base-json/pa-058__perqu__91_09.json	1	sí	"[{""start"":92.62,""end"":92.98,""p_min"":0.92191,""text"":""perquè""}]"
pa-059	perquè	4.09-12.43	clips/pa-059__perqu__4.09.wav	qa-consens-base-json/pa-059__perqu__4_09.json	1	sí	"[{""start"":6.369999999999999,""end"":6.79,""p_min"":0.521244,""text"":""perquè""}]"
pa-062	perquè	73.97-78.19	clips/pa-062__perqu__73.97.wav	qa-consens-base-json/pa-062__perqu__73_97.json	1	sí	"[{""start"":75.97,""end"":76.32,""p_min"":0.804777,""text"":""perquè""}]"
pa-064	perquè	27.57-33.27	clips/pa-064__perqu__27.57.wav	qa-consens-base-json/pa-064__perqu__27_57.json	1	sí	"[{""start"":30.34,""end"":30.8,""p_min"":0.305256,""text"":""perquè""}]"
pa-065	perquè	129.17-134.51	clips/pa-065__perqu__129.17.wav	qa-consens-base-json/pa-065__perqu__129_17.json	1	sí	"[{""start"":131.17,""end"":131.83999999999997,""p_min"":0.400528,""text"":""perquè""}]"
pa-066	perquè	21.81-26.71	clips/pa-066__perqu__21.81.wav	qa-consens-base-json/pa-066__perqu__21_81.json	1	sí	"[{""start"":25.209999999999997,""end"":25.32,""p_min"":0.420932,""text"":""perquè""}]"
pa-002	a nivell	714.25-724.75	clips/pa-002__a-nivell__714.25.wav	qa-consens-base-json/pa-002__a-nivell__714_25.json	1	sí	"[{""start"":720.69,""end"":722.28,""p_min"":0.309828,""text"":""a nivell""}]"
pa-003	a nivell	180.17-188.79	clips/pa-003__a-nivell__180.17.wav	qa-consens-base-json/pa-003__a-nivell__180_17.json	1	sí	"[{""start"":182.0,""end"":182.85,""p_min"":0.588244,""text"":""a nivell""}]"
pa-016	a nivell	333.81-340.39	clips/pa-016__a-nivell__333.81.wav	qa-consens-base-json/pa-016__a-nivell__333_81.json	1	sí	"[{""start"":337.21,""end"":337.81,""p_min"":0.349684,""text"":""a nivell""}]"
pa-017	a nivell	143.25-149.75	clips/pa-017__a-nivell__143.25.wav	qa-consens-base-json/pa-017__a-nivell__143_25.json	1	sí	"[{""start"":146.57,""end"":146.77,""p_min"":0.769039,""text"":""a nivell""}]"
pa-018	a nivell	188.45-191.87	clips/pa-018__a-nivell__188.45.wav	qa-consens-base-json/pa-018__a-nivell__188_45.json	1	sí	"[{""start"":188.48999999999998,""end"":189.03,""p_min"":0.0199495,""text"":""a nivell""}]"
pa-019	a nivell	122.25-127.75	clips/pa-019__a-nivell__122.25.wav	qa-consens-base-json/pa-019__a-nivell__122_25.json	1	sí	"[{""start"":125.45,""end"":125.87,""p_min"":0.838188,""text"":""a nivell""}]"
pa-024	a nivell	1547.93-1552.91	clips/pa-024__a-nivell__1547.93.wav	qa-consens-base-json/pa-024__a-nivell__1547_93.json	1	sí	"[{""start"":1549.42,""end"":1549.79,""p_min"":0.290498,""text"":""a nivell""}]"
pa-034	a nivell	143.81-148.91	clips/pa-034__a-nivell__143.81.wav	qa-consens-base-json/pa-034__a-nivell__143_81.json	1	sí	"[{""start"":146.67000000000002,""end"":147.41,""p_min"":0.697271,""text"":""a nivell""}]"
pa-036	a nivell	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	qa-consens-base-json/pa-036__a-nivell__386_45.json	1	sí	"[{""start"":393.9,""end"":394.49,""p_min"":0.884005,""text"":""a nivell""}]"
pa-038	a nivell	455.49-460.15	clips/pa-038__a-nivell__455.49.wav	qa-consens-base-json/pa-038__a-nivell__455_49.json	1	sí	"[{""start"":456.28000000000003,""end"":456.82,""p_min"":0.571966,""text"":""a nivell""}]"
pa-045	a nivell	624.85-629.07	clips/pa-045__a-nivell__624.85.wav	qa-consens-base-json/pa-045__a-nivell__624_85.json	1	sí	"[{""start"":627.19,""end"":627.9300000000001,""p_min"":0.662513,""text"":""a nivell""}]"
pa-048	a nivell	435.77-441.27	clips/pa-048__a-nivell__435.77.wav	qa-consens-base-json/pa-048__a-nivell__435_77.json	1	sí	"[{""start"":439.57,""end"":440.01,""p_min"":0.34842,""text"":""a nivell""}]"
pa-058	a nivell	188.37-191.87	clips/pa-058__a-nivell__188.37.wav	qa-consens-base-json/pa-058__a-nivell__188_37.json	1	sí	"[{""start"":188.37,""end"":189.0,""p_min"":0.0264777,""text"":""a nivell""}]"
pa-059	a nivell	142.93-150.35	clips/pa-059__a-nivell__142.93.wav	qa-consens-base-json/pa-059__a-nivell__142_93.json	1	sí	"[{""start"":146.49,""end"":146.93,""p_min"":0.726487,""text"":""a nivell""}]"
pa-061	a nivell	1357.21-1360.71	clips/pa-061__a-nivell__1357.21.wav	qa-consens-base-json/pa-061__a-nivell__1357_21.json	1	sí	"[{""start"":1358.6200000000001,""end"":1359.18,""p_min"":0.695646,""text"":""a nivell""}]"
pa-063	a nivell	1143.61-1148.07	clips/pa-063__a-nivell__1143.61.wav	qa-consens-base-json/pa-063__a-nivell__1143_61.json	1	sí	"[{""start"":1145.26,""end"":1145.8999999999999,""p_min"":0.329793,""text"":""a nivell""}]"
pa-065	a nivell	529.09-536.75	clips/pa-065__a-nivell__529.09.wav	qa-consens-base-json/pa-065__a-nivell__529_09.json	0	no	[]
pa-066	a nivell	25.21-29.71	clips/pa-066__a-nivell__25.21.wav	qa-consens-base-json/pa-066__a-nivell__25_21.json	1	sí	"[{""start"":28.01,""end"":28.3,""p_min"":0.377626,""text"":""a nivell""}]"
pa-003	tirar endavant	361.93-366.63	clips/pa-003__tirar-endavant__361.93.wav	qa-consens-base-json/pa-003__tirar-endavant__361_93.json	1	sí	"[{""start"":362.91,""end"":363.93,""p_min"":0.797688,""text"":""tirar endavant""}]"
pa-029	tirar endavant	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	qa-consens-base-json/pa-029__tirar-endavant__56_73.json	1	sí	"[{""start"":61.61,""end"":62.099999999999994,""p_min"":0.624889,""text"":""tirar endavant""}]"
pa-030	tirar endavant	185.61-192.15	clips/pa-030__tirar-endavant__185.61.wav	qa-consens-base-json/pa-030__tirar-endavant__185_61.json	1	sí	"[{""start"":187.08,""end"":188.04000000000002,""p_min"":0.597053,""text"":""tirar endavant""}]"
pa-033	tirar endavant	135.69-141.51	clips/pa-033__tirar-endavant__135.69.wav	qa-consens-base-json/pa-033__tirar-endavant__135_69.json	1	sí	"[{""start"":137.49,""end"":139.07,""p_min"":0.488202,""text"":""tirar endavant""}]"
pa-034	tirar endavant	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	qa-consens-base-json/pa-034__tirar-endavant__690_33.json	1	sí	"[{""start"":693.86,""end"":694.6600000000001,""p_min"":0.83469,""text"":""tirar endavant""}]"
pa-041	tirar endavant	102.25-106.75	clips/pa-041__tirar-endavant__102.25.wav	qa-consens-base-json/pa-041__tirar-endavant__102_25.json	1	sí	"[{""start"":102.57,""end"":103.6,""p_min"":0.195959,""text"":""tirar endavant""}]"
