id_persona	categoria	candidat	referencia	indicador_automatic	estat_indicador	observacio_auditiva
pa-013	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-013	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-013	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-013	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-013	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-013	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-013	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-013	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-013	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-013	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-013	lèxic	variants occidentals	ALDC; Veny	formes_territorials=Escaldes=25 (ASR)	candidat lèxic; validar àudio	
pa-013	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=Escaldes=25 (ASR)	candidat lèxic; validar àudio	
pa-013	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=Escaldes=25 (ASR)	candidat lèxic; validar àudio	
pa-013	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=26 (ASR)	indicador textual; validar àudio	
pa-013	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=1;doncs=6;és a dir=2;evidentment=1;perquè=3;per tant=1	indicador textual; validar àudio	
pa-013	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=130.26; f0_sd_hz=157.22; pausa_mediana_s=0.06	descriptor acústic; no és tret confirmat	
pa-013	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-013	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-014	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-014	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-014	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-014	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-014	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-014	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-014	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-014	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-014	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-014	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-014	lèxic	variants occidentals	ALDC; Veny	formes_territorials=comú=1;padrí=1;Ordino=1;Escaldes=3;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-014	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=comú=1;padrí=1;Ordino=1;Escaldes=3;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-014	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=comú=1;padrí=1;Ordino=1;Escaldes=3;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-014	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=28 (ASR)	indicador textual; validar àudio	
pa-014	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=8;clar=1;doncs=10;llavors=4;aleshores=2;és a dir=10;o sigui=1;vull dir=8;a veure=1;aviam=1;evidentment=7;perquè=11	indicador textual; validar àudio	
pa-014	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=44.30; f0_sd_hz=52.86; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-014	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-014	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-015	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-015	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-015	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-015	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-015	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-015	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-015	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-015	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-015	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-015	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-015	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=5 (ASR)	candidat lèxic; validar àudio	
pa-015	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=5 (ASR)	candidat lèxic; validar àudio	
pa-015	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=5 (ASR)	candidat lèxic; validar àudio	
pa-015	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=1 (ASR)	indicador textual; validar àudio	
pa-015	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=3;doncs=7;llavors=1;o sigui=1;perquè=2	indicador textual; validar àudio	
pa-015	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=107.42; f0_sd_hz=180.17; pausa_mediana_s=0.12	descriptor acústic; no és tret confirmat	
pa-015	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-015	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-016	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-016	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-016	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-016	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-016	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-016	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-016	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-016	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-016	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-016	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-016	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=2;comunals=1;Canillo=1;Ordino=3 (ASR)	candidat lèxic; validar àudio	
pa-016	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=2;comunals=1;Canillo=1;Ordino=3 (ASR)	candidat lèxic; validar àudio	
pa-016	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=2;comunals=1;Canillo=1;Ordino=3 (ASR)	candidat lèxic; validar àudio	
pa-016	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=52 (ASR)	indicador textual; validar àudio	
pa-016	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=5;bueno=4;clar=12;doncs=10;llavors=10;de fet=2;és a dir=2;o sigui=2;vull dir=2;a veure=4;aviam=1;evidentment=3;perquè=18;per tant=2;a nivell=4;no?=4	indicador textual; validar àudio	
pa-016	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=57.65; f0_sd_hz=69.93; pausa_mediana_s=0.06	descriptor acústic; no és tret confirmat	
pa-016	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-016	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-017	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-017	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-017	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-017	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-017	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-017	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-017	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-017	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-017	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-017	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-017	lèxic	variants occidentals	ALDC; Veny	formes_territorials=comú=1;copríncep=1;coprínceps=2;Escaldes=5;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-017	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=comú=1;copríncep=1;coprínceps=2;Escaldes=5;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-017	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=comú=1;copríncep=1;coprínceps=2;Escaldes=5;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-017	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=61 (ASR)	indicador textual; validar àudio	
pa-017	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=4;bueno=2;clar=5;doncs=3;llavors=2;és a dir=1;vull dir=5;evidentment=3;perquè=23;per tant=1;a nivell=9	indicador textual; validar àudio	
pa-017	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=119.98; f0_sd_hz=68.10; pausa_mediana_s=0.10	descriptor acústic; no és tret confirmat	
pa-017	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-017	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-018	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-018	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-018	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-018	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-018	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-018	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-018	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-018	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-018	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-018	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-018	lèxic	variants occidentals	ALDC; Veny	formes_territorials=andorrana=1;parròquia=3;comú=1;comuns=1;copríncep=3;Canillo=1;Escaldes=4;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-018	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=andorrana=1;parròquia=3;comú=1;comuns=1;copríncep=3;Canillo=1;Escaldes=4;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-018	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=andorrana=1;parròquia=3;comú=1;comuns=1;copríncep=3;Canillo=1;Escaldes=4;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-018	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=142 (ASR)	indicador textual; validar àudio	
pa-018	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=6;bueno=49;clar=12;doncs=34;llavors=2;és a dir=3;a veure=4;diguem=2;perquè=49;a nivell=15	indicador textual; validar àudio	
pa-018	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=63.93; f0_sd_hz=309.19; pausa_mediana_s=0.10	descriptor acústic; no és tret confirmat	
pa-018	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-018	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-019	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-019	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-019	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-019	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-019	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-019	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-019	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-019	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-019	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-019	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-019	lèxic	variants occidentals	ALDC; Veny	formes_territorials=comuns=2 (ASR)	candidat lèxic; validar àudio	
pa-019	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=comuns=2 (ASR)	candidat lèxic; validar àudio	
pa-019	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=comuns=2 (ASR)	candidat lèxic; validar àudio	
pa-019	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=41 (ASR)	indicador textual; validar àudio	
pa-019	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=6;bueno=3;clar=1;doncs=1;llavors=1;és a dir=6;diguem=4;evidentment=4;perquè=15;per tant=2;a nivell=3;no?=3	indicador textual; validar àudio	
pa-019	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=189.51; f0_sd_hz=99.83; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-019	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-019	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-020	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-020	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-020	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-020	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-020	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-020	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-020	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-020	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-020	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-020	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-020	lèxic	variants occidentals	ALDC; Veny	formes_territorials=comú=2;comuns=4;copríncep=5;comunal=1;comunals=1;Ordino=1;Massana=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-020	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=comú=2;comuns=4;copríncep=5;comunal=1;comunals=1;Ordino=1;Massana=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-020	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=comú=2;comuns=4;copríncep=5;comunal=1;comunals=1;Ordino=1;Massana=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-020	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=190 (ASR)	indicador textual; validar àudio	
pa-020	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=24;bueno=22;clar=29;doncs=3;vull dir=12;aviam=2;diguem=1;evidentment=7;perquè=22;a nivell=2;no?=8	indicador textual; validar àudio	
pa-020	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=73.03; f0_sd_hz=63.02; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-020	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-020	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-021	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-021	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-021	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-021	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-021	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-021	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-021	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-021	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-021	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-021	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-021	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=3;Canillo=10 (ASR)	candidat lèxic; validar àudio	
pa-021	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=3;Canillo=10 (ASR)	candidat lèxic; validar àudio	
pa-021	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=3;Canillo=10 (ASR)	candidat lèxic; validar àudio	
pa-021	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=52 (ASR)	indicador textual; validar àudio	
pa-021	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=16;bueno=11;clar=9;doncs=26;aleshores=2;és a dir=10;vull dir=2;a veure=4;evidentment=6;perquè=20;no?=9	indicador textual; validar àudio	
pa-021	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=156.52; f0_sd_hz=876.17; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-021	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-021	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-022	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-022	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-022	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-022	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-022	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-022	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-022	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-022	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-022	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-022	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-022	lèxic	variants occidentals	ALDC; Veny	formes_territorials= (ASR)	candidat lèxic; validar àudio	
pa-022	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials= (ASR)	candidat lèxic; validar àudio	
pa-022	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials= (ASR)	candidat lèxic; validar àudio	
pa-022	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=68 (ASR)	indicador textual; validar àudio	
pa-022	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=4;bueno=12;clar=2;doncs=3;llavors=6;de fet=1;és a dir=1;o sigui=1;vull dir=4;a veure=2;diguem=1;evidentment=2;perquè=17;no?=12	indicador textual; validar àudio	
pa-022	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=190.60; f0_sd_hz=96.74; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-022	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-022	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-023	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-023	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-023	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-023	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-023	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-023	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-023	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-023	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-023	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-023	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-023	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=1;Canillo=3;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-023	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=1;Canillo=3;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-023	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=1;Canillo=3;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-023	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=61 (ASR)	indicador textual; validar àudio	
pa-023	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=2;bueno=3;llavors=4;de fet=2;és a dir=4;vull dir=20;a veure=3;diguem=1;perquè=11;a nivell=3	indicador textual; validar àudio	
pa-023	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=50.15; f0_sd_hz=72.44; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-023	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-023	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-024	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-024	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-024	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-024	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-024	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-024	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-024	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-024	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-024	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-024	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-024	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=4;Escaldes=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-024	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=4;Escaldes=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-024	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=4;Escaldes=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-024	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=135 (ASR)	indicador textual; validar àudio	
pa-024	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=8;bueno=23;clar=21;doncs=6;llavors=12;de fet=2;és a dir=5;o sigui=2;a veure=4;evidentment=2;perquè=24;per tant=8;a nivell=1;no?=23	indicador textual; validar àudio	
pa-024	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=89.23; f0_sd_hz=143.79; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-024	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-024	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-025	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-025	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-025	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-025	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-025	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-025	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
