fitxer	titol	estat	nota
raw/web/institucions/arxiu-set-claus/rendes-episcopals-pobres-1645-1647/README.md	Les rendes episcopals es reparteixen entre pobres, 1645–1647	identificable	
raw/web/institucions/arxiu-set-claus/restriccio-emigrats-francesos-1904/README.md	Una ordre restringeix l’entrada d’emigrats francesos	identificable	
raw/web/institucions/arxiu-set-claus/sal-cardona-1520/README.md	Súplica del síndic per treure sal de Cardona, 1520	identificable	
raw/web/institucions/arxiu-set-claus/seguiment-cens-poblacio-1896/README.md	La reclamació dels resultats del cens	identificable	
raw/web/institucions/arxiu-set-claus/sentencia-lleuda-agramunt-1493/README.md	Sentència arbitral sobre la lleuda d’Agramunt, 1493	identificable	
raw/web/institucions/arxiu-set-claus/sentencia-ramats-gascunya-1468/README.md	Sentència arbitral sobre el robatori de moltons, 1468	identificable	
raw/web/institucions/arxiu-set-claus/sentencia-taxes-saigs-1456/README.md	Sentència sobre taxes notarials i canvi de saig a batlle, 1456	identificable	
raw/web/institucions/arxiu-set-claus/sentencia-treta-blat-1593/README.md	Felip II resol sobre la treta de blat i aliments, 1593	identificable	
raw/web/institucions/arxiu-set-claus/suplica-salari-nunci-1840/README.md	El nunci Pau Serra demana una rebaixa de salari, 1840	identificable	
raw/web/institucions/arxiu-set-claus/taxes-notaris-1356/README.md	Trasllat de les taxes dels notaris de les Valls, 1356–1357	identificable	
raw/web/institucions/arxiu-set-claus/telegraf-franca-espanya-1881-1892/README.md	Telègraf entre França, Andorra i la Seu, 1882–1897	identificable	
raw/web/institucions/arxiu-set-claus/treta-blat-prullans-1634/README.md	Un acord local concreta la treta de blat el 1634	identificable	
raw/web/institucions/arxiu-urgell/arxiu-diocesa-urgell-fitxa.README.md	Arxiu Diocesà d’Urgell — fitxa del cercador *Arxius de Catalunya*	identificable	
raw/web/institucions/arxiu-urgell/guia-arxiu-esglesia-urgell-2026.README.md	*Guia de l’Arxiu de l’Església d’Urgell*	identificable	
raw/web/institucions/arxius-departamentals-pirineus-orientals/reforma-1866/README.md	Pista arxivística sobre la Reforma de 1866	identificable	
raw/web/institucions/consell-general/actes-historiques/estudi-preliminar.README.md	*Estudi preliminar de les actes històriques del Consell General*	identificable	
raw/web/institucions/consell-general/actes-historiques/fcv-9485.info.README.md	*Llibre d’actes del Consell General, 1864–1940* — FCV 9485	identificable	
raw/web/institucions/consell-general/actes-historiques/introduccio-llibres-actes.README.md	*Introducció als llibres d’actes del Consell General*	identificable	
raw/web/institucions/consell-general/arxiu-historic-escaldes-4673502.README.md	Arxiu Històric d’Escaldes-Engordany (fitxa de fons)	identificable	
raw/web/institucions/consell-general/arxiu-secretaria-consell-general-4673572.README.md	Arxiu Secretaria del Consell General — fons 1864–1979	identificable	
raw/web/institucions/consell-general/constitucio-sobirania-plena.README.md	*Constitució i sobirania plena* — Consell General	identificable	
raw/web/institucions/consell-general/coutume-andorre-chapitre-1-tabacs.README.md	La Coutume d’Andorre, capítol 1 — monopoli dels tabacs	identificable	
raw/web/institucions/consell-general/historia-dret-mines-andorra-scielo-2006.README.md	Història del dret de mines al Rosselló, Andorra i Catalunya (2006)	identificable	
raw/web/institucions/consell-general/llei-administracio-general-1985.README.md	*Llei d’organització de l’Administració General* (24 de maig de 1985)	identificable	
raw/web/institucions/consell-general/llei-expropiacio-1993.README.md	Llei d’expropiació d’Andorra (1993)	identificable	
raw/web/institucions/consell-general/massa-institucions-representatives-reforma-1981.README.md	*Les institucions representatives i parlamentàries d’Andorra* — Joan Massa	identificable	
raw/web/institucions/consell-general/tabacalera-andorrana-4673684.README.md	Tabacalera Andorrana (fitxa de fons)	identificable	
raw/web/institucions/nacionalitat/aca-2-residencia-estrangers-1775.README.md	Còpia de la deliberació del Consell General sobre la residència d’estrangers (1775)	identificable	
raw/web/institucions/nacionalitat/annals-2006-immigracio-i-estrangers.README.md	*Les institucions i la immigració abans de 1960* — Jordi Lluís	identificable	
raw/web/institucions/nacionalitat/impacte-immigracio-andorra-2010.README.md	*Impacte de la immigració a Andorra* — Govern d’Andorra (2010)	identificable	
raw/web/institucions/pares/ultramar-4714-exp42-canje-andorra-1867/README.md	Expedient del canje de notes amb Andorra, 1866–1868	identificable	
raw/web/institucions/patrimoni-institucional/arxiu-set-claus-4673670.README.md	Arxiu de les Set Claus (fitxa de fons)	identificable	
raw/web/institucions/patrimoni-institucional/peca-del-mes-armari-2018.README.md	La peça del mes — Armari de les Set Claus (2018)	identificable	
raw/web/institucions/policia/altaveu-cos-policia-90-anys-2021.README.md	*El Cos de Policia compleix 90 anys*	identificable	
raw/web/institucions/policia/arxiu-nacional-agent-servei-ordre-1940-1950.README.md	Agent del servei d’ordre — registre fotogràfic 22697	identificable	
raw/web/institucions/policia/arxiu-nacional-foto-oficial-servei-ordre.README.md	Foto oficial del cos de policia — Servei d’ordre	identificable	
raw/web/institucions/policia/arxiu-nacional-marc-pantebre-servei-ordre.README.md	Marc Pantebre Palmitjavila — fons fotogràfic	identificable	
raw/web/institucions/policia/bondia-guardies-civics-2026.README.md	*Guàrdies cívics, no policies*	identificable	
raw/web/institucions/policia/policia-historia-identitat.README.md	*Història i Identitat* — Policia d’Andorra	identificable	
raw/web/institucions/policia/primer-reglament-servei-ordre-1931.README.md	Primer reglament del Cos de Policia (15 de maig de 1931)	identificable	
raw/web/politica/sufragi-femeni/README.md	*Les dones al Consell General* — història del sufragi femení	identificable	
raw/web/politica/sufragi-femeni/govern-9-impulsores-2025.README.md	*Les nou impulsores del sufragi femení* — Govern d’Andorra (2025)	identificable	
raw/web/societat/demografia/censos/estadistica-poblacio-2021.README.md	*Estimacions de població i censos parroquials, any 2021*	identificable	
raw/web/societat/mitjans/elperiodic-les-valls-andorra-1917.README.md	*Premsa i literatura: Les Valls d’Andorra*	identificable	
