segment	inici_s	final_s	cluster_acustic	distancia_centre	text_asr	estat
247	753.640	756.840	1	1.9022	ens ho passem bé, intentem fer un format professional,	agrupació acústica provisional; identitat pendent
248	756.920	758.920	1	3.9318	però la vegada que sí, divertit i entretingut,	agrupació acústica provisional; identitat pendent
249	759.000	761.800	1	1.9560	de moment tinc superbon feedback, la gent està encantadíssima,	agrupació acústica provisional; identitat pendent
250	761.880	764.280	1	2.9684	també no toco que anem coneixent més,	agrupació acústica provisional; identitat pendent
251	764.360	767.160	1	2.5639	ostres, no temo un suport molt gran amb l'equip,	agrupació acústica provisional; identitat pendent
252	767.240	769.240	0	2.0429	i és el que ens agrada fer, i seguirem fent.	agrupació acústica provisional; identitat pendent
253	769.320	771.320	1	2.3624	I, bueno, posar resultats així també acompanya.	agrupació acústica provisional; identitat pendent
254	771.400	773.400	0	3.2993	Sí, trobo que és superinteressant, eh?	agrupació acústica provisional; identitat pendent
255	773.480	775.960	0	1.9531	Pogués seguir la vida d'un esquí de professional,	agrupació acústica provisional; identitat pendent
256	776.040	778.040	1	3.3661	del teu equip, que som com una família,	agrupació acústica provisional; identitat pendent
257	778.120	782.480	0	3.0425	I bé, per l'experiència pròpia et puc dir que gent que no li agrada l'esquit...	agrupació acústica provisional; identitat pendent
258	782.560	784.840	0	3.4809	et segueix el YouTube i li agrada.	agrupació acústica provisional; identitat pendent
259	784.920	786.360	1	5.2405	Molt bé, merci.	agrupació acústica provisional; identitat pendent
260	786.440	790.560	0	3.8116	Per cert, aquests dies aquí et veurem fent de dijous a la Varset.	agrupació acústica provisional; identitat pendent
261	790.640	793.960	1	2.3411	Això és que ho he comentat a l'últim vídeo.	agrupació acústica provisional; identitat pendent
262	794.040	797.800	1	1.9873	Si la temporada va molt bé faré un dijous a la Varset de celebració.	agrupació acústica provisional; identitat pendent
263	797.880	800.240	1	2.2110	Doncs tampoc ens ho perdrem.	agrupació acústica provisional; identitat pendent
264	800.320	803.480	0	4.1864	"Merci per estar amb nosaltres a ""L'Andorra en Blanca"", Joan Verdu,"	agrupació acústica provisional; identitat pendent
265	803.560	805.560	1	4.9359	i rei tot el millor. Adéu-vos-les.	agrupació acústica provisional; identitat pendent
266	805.640	807.360	1	2.5804	Moltes gràcies a vosaltres.	agrupació acústica provisional; identitat pendent
